age,female,"bs(age, df=6, degree=3, include_intercept=False)[0]","bs(age, df=6, degree=3, include_intercept=False)[1]","bs(age, df=6, degree=3, include_intercept=False)[2]","bs(age, df=6, degree=3, include_intercept=False)[3]","bs(age, df=6, degree=3, include_intercept=False)[4]","bs(age, df=6, degree=3, include_intercept=False)[5]","bs(age, df=6, degree=3, include_intercept=False)[0]:female","bs(age, df=6, degree=3, include_intercept=False)[1]:female","bs(age, df=6, degree=3, include_intercept=False)[2]:female","bs(age, df=6, degree=3, include_intercept=False)[3]:female","bs(age, df=6, degree=3, include_intercept=False)[4]:female","bs(age, df=6, degree=3, include_intercept=False)[5]:female"
40.0,0,0.0036310820624546117,0.28388860639483854,0.67415185798934,0.038328453553367045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,1,0.0036310820624546117,0.28388860639483854,0.67415185798934,0.038328453553367045,0.0,0.0,0.0036310820624546117,0.28388860639483854,0.67415185798934,0.038328453553367045,0.0,0.0
40.083,0,0.003452537050485484,0.28117605124119255,0.6762388906652977,0.03913252104302425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.083,1,0.003452537050485484,0.28117605124119255,0.6762388906652977,0.03913252104302425,0.0,0.0,0.003452537050485484,0.28117605124119255,0.6762388906652977,0.03913252104302425,0.0,0.0
40.167,0,0.0032799429785631573,0.27846727525888504,0.6783050258041267,0.03994775595842497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.167,1,0.0032799429785631573,0.27846727525888504,0.6783050258041267,0.03994775595842497,0.0,0.0,0.0032799429785631573,0.27846727525888504,0.6783050258041267,0.03994775595842497,0.0,0.0
40.25,0,0.0031131989832970082,0.27576254941062067,0.6803500162897836,0.040774235316298535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.25,1,0.0031131989832970082,0.27576254941062067,0.6803500162897836,0.040774235316298535,0.0,0.0,0.0031131989832970082,0.27576254941062067,0.6803500162897836,0.040774235316298535,0.0,0.0
40.333,0,0.0029522042012964126,0.2730621446591039,0.6823736150062254,0.04161203613337417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.333,1,0.0029522042012964126,0.2730621446591039,0.6823736150062254,0.04161203613337417,0.0,0.0,0.0029522042012964126,0.2730621446591039,0.6823736150062254,0.04161203613337417,0.0,0.0
40.417,0,0.0027968577691707473,0.27036633196703913,0.684375574837409,0.04246123542638117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.417,1,0.0027968577691707473,0.27036633196703913,0.684375574837409,0.04246123542638117,0.0,0.0,0.0027968577691707473,0.27036633196703913,0.684375574837409,0.04246123542638117,0.0,0.0
40.5,0,0.0026470588235293865,0.26767538229713095,0.6863556486672909,0.043321910212048766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.5,1,0.0026470588235293865,0.26767538229713095,0.6863556486672909,0.043321910212048766,0.0,0.0,0.0026470588235293865,0.26767538229713095,0.6863556486672909,0.043321910212048766,0.0,0.0
40.583,0,0.0025027065009817087,0.2649895666120838,0.6883135893798282,0.04419413750710625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.583,1,0.0025027065009817087,0.2649895666120838,0.6883135893798282,0.04419413750710625,0.0,0.0,0.0025027065009817087,0.2649895666120838,0.6883135893798282,0.04419413750710625,0.0,0.0
40.667,0,0.002363699938137089,0.26230915587460224,0.6902491498589778,0.04507799432828288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.667,1,0.002363699938137089,0.26230915587460224,0.6902491498589778,0.04507799432828288,0.0,0.0,0.002363699938137089,0.26230915587460224,0.6902491498589778,0.04507799432828288,0.0,0.0
40.75,0,0.0022299382716049047,0.25963442104739076,0.6921620829886963,0.04597355769230792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.75,1,0.0022299382716049047,0.25963442104739076,0.6921620829886963,0.04597355769230792,0.0,0.0,0.0022299382716049047,0.25963442104739076,0.6921620829886963,0.04597355769230792,0.0,0.0
