df,degree,systolic_loss,diastolic_loss
1,1,5.40285962738776,3.8228437029838718
2,1,5.318704349284341,3.601508202043802
2,2,5.285440459627245,3.5794403184891244
3,1,5.270680374156006,3.5763785320322112
3,2,5.241927724707979,3.5706634231823826
3,3,5.241044215517049,3.5693249006745424
4,1,5.2324023435328675,3.5691629376412166
4,2,5.212340534605865,3.569164043737789
4,3,5.212410213946358,3.569206586014592
4,4,5.214266970076968,3.569323829826481
5,1,5.218315378911403,3.567324729813721
5,2,5.210008452349268,3.567538470663945
5,3,5.212742226026057,3.5675625300659553
5,4,5.213728022978356,3.567788419751609
6,1,5.210316030945103,3.565043328372296
6,2,5.210261417693181,3.5642034498525375
6,3,5.211313574823892,3.5636286370908175
6,4,5.2110541422560015,3.564513352298686
