quantile,fit metric
0.01,1.9475632218046712e-10
0.02,3.936252435110532e-10
0.03,5.969085226098514e-10
0.04,8.0424089610176e-10
0.05,1.0161340657788287e-09
0.06,1.2324249398787401e-09
0.07,
0.08,4.1426795327481614e-10
0.09,1.643086222635759e-09
0.1,2.035610124906384e-09
0.11,2.3341332200388365e-09
0.12,2.1772763481031632e-08
0.13,2.3380900548986006e-09
0.14,
0.15,
0.16,1.863738730012443e-08
0.17,2.4487486816049397e-08
0.18,6.106738037470194e-08
0.19,2.6486864257435627e-08
0.2,4.1772299175235617e-08
0.21,3.294973505152399e-08
0.22,7.514761624083377e-08
0.23,7.794210621359099e-08
0.24,6.62415888807999e-08
0.25,0.001291367200008664
0.26,0.004392985982139885
0.27,0.007264854226880613
0.28,0.005669554474076466
0.29,0.0034282183367998487
0.3,0.0017820634454879247
0.31,0.0006250858870917586
0.32,
0.33,
0.34,
0.35,2.0791758315041875e-09
0.36,1.274738747891746e-08
0.37,0.0006523612315018079
0.38,0.002389916132812142
0.39,0.00439572944154909
0.4,0.00663682035912927
0.41,0.008431224269667692
0.42,0.0059676400336204916
0.43,0.004087758918570161
0.44,0.002680160841731616
0.45,0.0016903904350581422
0.46,0.0010776478233275322
0.47,0.000819896038263046
0.48,0.0009666345491560202
0.49,0.00164698581913858
0.5,0.002786258894158955
0.51,0.0043351690251710595
0.52,0.006354784271451641
0.53,0.008913805059240776
0.54,0.007684182263976935
0.55,0.006401568647951605
0.56,0.005725491830915752
0.57,0.005656770580098502
0.58,0.006194795495361616
0.59,0.007380966031475311
0.6,0.00924503093299589
0.61,0.011696777204783237
0.62,0.010221990157845084
0.63,0.009451027223111308
0.64,0.009403520824621925
0.65,0.010081487178944082
0.66,0.011496446082024159
0.67,0.011385434336168787
0.68,0.00964325165467228
0.69,0.008690523271140282
0.7,0.00856450008498899
0.71,0.009300205159715746
0.72,0.010962421766392949
0.73,0.013613014213343488
0.74,0.014252210909225349
0.75,0.01437259345287667
0.76,0.015753473574840804
0.77,0.018491227792964304
0.78,0.018916544140249236
0.79,0.019889098842877706
0.8,0.022578249156861463
0.81,0.022248654482006414
0.82,0.023666825641542766
0.83,0.02377481841167617
0.84,0.02413276721985491
0.85,0.022839783635101307
0.86,0.02223837070773138
0.87,0.018685746533757763
0.88,0.017290304718798444
0.89,0.01897905585732118
0.9,0.019718907057299395
0.91,0.022534378900907703
0.92,0.02526494434696247
0.93,0.02893384430332857
0.94,0.0325761904270212
0.95,0.03612823187335157
0.96,0.03830499178101099
0.97,0.036398289112816395
0.98,0.031657118910144666
0.99,0.026300006295119305
