quantile,outcome,fit metric
0.01,dia,0.07009451176235215
0.02,dia,0.07650079550073396
0.03,dia,0.06979985010119627
0.04,dia,0.06618706760421211
0.05,dia,0.05382062284036604
0.06,dia,0.04978504205267664
0.07,dia,0.05353676995639722
0.08,dia,0.06027257309093115
0.09,dia,0.06791247549042623
0.1,dia,0.06933758551787039
0.11,dia,0.07235341445129317
0.12,dia,0.07774649196736239
0.13,dia,0.08240227022486646
0.14,dia,0.08308711764125054
0.15,dia,0.0853494400458451
0.16,dia,0.08879940636774808
0.17,dia,0.09092521431930656
0.18,dia,0.09035897118909453
0.19,dia,0.09033981006644354
0.2,dia,0.09071970356823311
0.21,dia,0.08906394267530227
0.22,dia,0.08662556633212992
0.23,dia,0.08511257905170055
0.24,dia,0.08462011347184106
0.25,dia,0.08518710478656788
0.26,dia,0.08411440766188838
0.27,dia,0.0811734333554891
0.28,dia,0.07801190007604608
0.29,dia,0.07555388939608187
0.3,dia,0.07386170601367126
0.31,dia,0.07329342980881182
0.32,dia,0.07378311629435785
0.33,dia,0.07489195323908415
0.34,dia,0.07655188141551061
0.35,dia,0.07883679963665047
0.36,dia,0.08178006289258954
0.37,dia,0.08310070711029427
0.38,dia,0.08329458012887736
0.39,dia,0.08344726425882776
0.4,dia,0.08413164187491762
0.41,dia,0.08534168245198948
0.42,dia,0.0871861414918732
0.43,dia,0.08945024806702406
0.44,dia,0.09042700875940546
0.45,dia,0.09038006392745901
0.46,dia,0.09034463519082359
0.47,dia,0.09087462120112033
0.48,dia,0.09204369944411506
0.49,dia,0.09314135269290047
0.5,dia,0.09331076221755574
0.51,dia,0.09229327721262437
0.52,dia,0.09125956765138765
0.53,dia,0.0907268716631019
0.54,dia,0.09069250460509504
0.55,dia,0.0906687217076898
0.56,dia,0.08931168186879179
0.57,dia,0.08655144744531074
0.58,dia,0.08393181413366047
0.59,dia,0.08210558487285391
0.6,dia,0.0810753624270496
0.61,dia,0.08070085402565885
0.62,dia,0.08083837249598669
0.63,dia,0.08019435023176102
0.64,dia,0.0785412369023355
0.65,dia,0.07507113828089729
0.66,dia,0.07199089862196495
0.67,dia,0.06939568506112959
