df,degree,systolic_loss,diastolic_loss
1,1,5.404611219395093,3.822844548341039
2,1,5.321555925330216,3.6017561746054128
2,2,5.288688513971514,3.5797847344643783
3,1,5.273605937965231,3.576378541726025
3,2,5.245398707469464,3.570979526769168
3,3,5.2444146451122275,3.5695865647715452
4,1,5.23522422179113,3.569158851495003
4,2,5.215591358115298,3.5694126497623095
4,3,5.215535194487403,3.569443145190205
4,4,5.217381671020385,3.5696211345742648
5,1,5.221262997354795,3.5673627136232673
5,2,5.21321261168614,3.567670567069146
5,3,5.216055428546654,3.5678630401300255
5,4,5.217093216008102,3.568188410772482
6,1,5.213198379352678,3.5650435964019898
6,2,5.21353480641597,3.5642406993484648
6,3,5.214675580656087,3.5636609249182536
6,4,5.214320214162903,3.564516628938918
