quantile,fit metric
0.01,
0.02,1.4762790989664154e-10
0.03,
0.04,3.0092106584334033e-10
0.05,
0.06,4.6116133134432857e-10
0.07,5.437233996374857e-10
0.08,6.256113405100905e-10
0.09,7.144376201750902e-10
0.1,
0.11,8.925026273587378e-10
0.12,2.8175189181744997e-08
0.13,
0.14,
0.15,
0.16,5.317020712602982e-09
0.17,4.2824947921182854e-08
0.18,6.903340221686705e-08
0.19,1.7283743658502715e-08
0.2,4.63337688216825e-08
0.21,2.83449204108166e-08
0.22,7.345471575437301e-08
0.23,7.650915556656201e-08
0.24,6.034858790471276e-08
0.25,0.0012913853160853028
0.26,0.004392988745377413
0.27,0.007264855584904084
0.28,0.004082405081240137
0.29,
0.3,
0.31,
0.32,
0.33,
0.34,
0.35,
0.36,3.549163518634657e-09
0.37,
0.38,0.0020210747148670105
0.39,0.004230917355416697
0.4,0.006348463765543655
0.41,0.007499009761255393
0.42,0.0036855358042688913
0.43,
0.44,4.85327000809832e-10
0.45,
0.46,
0.47,
0.48,
0.49,
0.5,0.0008192879174874212
0.51,0.002696868532036545
0.52,0.004527338548315218
0.53,0.006312460602393877
0.54,0.003751046373275835
0.55,0.0017523239088218512
0.56,0.0009743026574471347
0.57,0.0008360062749970254
0.58,0.0013972866924153449
0.59,0.0027403952918604313
0.6,0.004471310008496987
0.61,0.006397091352519979
0.62,0.004880448169568008
0.63,0.004127837786457533
0.64,0.004067861718468402
0.65,0.004709649294172613
0.66,0.006104486013986499
0.67,0.006084683832663806
0.68,0.004470696509967453
0.69,0.0035878699345982534
0.7,0.003467477931857754
0.71,0.004228667001192621
0.72,0.005951755945222792
0.73,0.008607003007542802
0.74,0.009209517937495248
0.75,0.00928842647048711
0.76,0.010587514259422615
0.77,0.013259575036380422
0.78,0.01359129782509172
0.79,0.014453927739481287
0.8,0.01705508949567336
0.81,0.016649627109202036
0.82,0.018037203874846863
0.83,0.018152820037430906
0.84,0.01861442626487575
0.85,0.017513115916593436
0.86,0.01724197011456252
0.87,0.014106665909326077
0.88,0.013187431326599053
0.89,0.015384938434904183
0.9,0.016627066327225104
0.91,0.01989461356850497
0.92,0.022976474087568866
0.93,0.02690011596996711
0.94,0.03080750631492879
0.95,0.03457777740200052
0.96,0.03703700651230768
0.97,0.03536522325003011
0.98,0.030819103702326323
0.99,0.025810495805280276
