quantile,outcome,fit metric
0.01,dia,0.06995680025927442
0.02,dia,0.07639627537375748
0.03,dia,0.06978470256454583
0.04,dia,0.06618430600645742
0.05,dia,0.05381985222018992
0.06,dia,0.04977790464447762
0.07,dia,0.05353578139486781
0.08,dia,0.06027242448091863
0.09,dia,0.06791247540690859
0.1,dia,0.06933758549996738
0.11,dia,0.0723534144970861
0.12,dia,0.07774649195451466
0.13,dia,0.08240225512455979
0.14,dia,0.08308711762652599
0.15,dia,0.08534944003346867
0.16,dia,0.08879940636729244
0.17,dia,0.09092521431880562
0.18,dia,0.0903589711644831
0.19,dia,0.09033981006209046
0.2,dia,0.09071970356342574
0.21,dia,0.08906394265471917
0.22,dia,0.0866255662818326
0.23,dia,0.08511211812633357
0.24,dia,0.08461957041296242
0.25,dia,0.08518657466076018
0.26,dia,0.08411421697552479
0.27,dia,0.08117292555322098
0.28,dia,0.0780107098878835
0.29,dia,0.07555163918067531
0.3,dia,0.07383699146749823
0.31,dia,0.07326616129734143
0.32,dia,0.07377607274284814
0.33,dia,0.07486930042251261
0.34,dia,0.07651972369956517
0.35,dia,0.07879778063201215
0.36,dia,0.08174437950092195
0.37,dia,0.08306124241711688
0.38,dia,0.08325372537414255
0.39,dia,0.08341728296362017
0.4,dia,0.08408932062465357
0.41,dia,0.08528434318465983
0.42,dia,0.087123681158352
0.43,dia,0.08940157124826142
0.44,dia,0.09038332091670276
0.45,dia,0.09035179082548794
0.46,dia,0.09032452457607887
0.47,dia,0.09085496891602607
0.48,dia,0.09203446865422393
0.49,dia,0.09313240227803499
0.5,dia,0.09329572145256526
0.51,dia,0.09227433936755158
0.52,dia,0.09123026518209754
0.53,dia,0.09070125366772486
0.54,dia,0.09065662623092752
0.55,dia,0.09062130402974833
0.56,dia,0.08925361962202238
0.57,dia,0.08647864925006721
0.58,dia,0.08381422939138516
0.59,dia,0.08204603448738823
0.6,dia,0.08105301862989756
0.61,dia,0.08067176435106616
0.62,dia,0.08080102538972567
0.63,dia,0.08015198350149311
0.64,dia,0.07851347069516668
0.65,dia,0.07504575663687629
0.66,dia,0.07197669001116014
0.67,dia,0.06937582671099662
0.68,dia,0.06725871818277596
0.69,dia,0.06567849575330909
0.7,dia,0.06446981078831504
0.71,dia,0.06381245148396153
0.72,dia,0.0641081043466164
0.73,dia,0.06551811871147017
0.74,dia,0.06778613960792745
0.75,dia,0.06880747625659067
0.76,dia,0.06815771824106609
