age,female,"bs(age, df=6, degree=1, include_intercept=False)[0]","bs(age, df=6, degree=1, include_intercept=False)[1]","bs(age, df=6, degree=1, include_intercept=False)[2]","bs(age, df=6, degree=1, include_intercept=False)[3]","bs(age, df=6, degree=1, include_intercept=False)[4]","bs(age, df=6, degree=1, include_intercept=False)[5]","bs(age, df=6, degree=1, include_intercept=False)[0]:female","bs(age, df=6, degree=1, include_intercept=False)[1]:female","bs(age, df=6, degree=1, include_intercept=False)[2]:female","bs(age, df=6, degree=1, include_intercept=False)[3]:female","bs(age, df=6, degree=1, include_intercept=False)[4]:female","bs(age, df=6, degree=1, include_intercept=False)[5]:female"
40.0,0,0.0,0.4545454545454546,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,1,0.0,0.4545454545454546,0.5454545454545454,0.0,0.0,0.0,0.0,0.4545454545454546,0.5454545454545454,0.0,0.0,0.0
40.083,0,0.0,0.44696969696969674,0.5530303030303033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.083,1,0.0,0.44696969696969674,0.5530303030303033,0.0,0.0,0.0,0.0,0.44696969696969674,0.5530303030303033,0.0,0.0,0.0
40.167,0,0.0,0.43939393939393895,0.5606060606060611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.167,1,0.0,0.43939393939393895,0.5606060606060611,0.0,0.0,0.0,0.0,0.43939393939393895,0.5606060606060611,0.0,0.0,0.0
40.25,0,0.0,0.43181818181818116,0.5681818181818189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.25,1,0.0,0.43181818181818116,0.5681818181818189,0.0,0.0,0.0,0.0,0.43181818181818116,0.5681818181818189,0.0,0.0,0.0
40.333,0,0.0,0.42424242424242337,0.5757575757575767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.333,1,0.0,0.42424242424242337,0.5757575757575767,0.0,0.0,0.0,0.0,0.42424242424242337,0.5757575757575767,0.0,0.0,0.0
40.417,0,0.0,0.4166666666666656,0.5833333333333345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.417,1,0.0,0.4166666666666656,0.5833333333333345,0.0,0.0,0.0,0.0,0.4166666666666656,0.5833333333333345,0.0,0.0,0.0
40.5,0,0.0,0.4090909090909078,0.5909090909090923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.5,1,0.0,0.4090909090909078,0.5909090909090923,0.0,0.0,0.0,0.0,0.4090909090909078,0.5909090909090923,0.0,0.0,0.0
40.583,0,0.0,0.40151515151515,0.5984848484848501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.583,1,0.0,0.40151515151515,0.5984848484848501,0.0,0.0,0.0,0.0,0.40151515151515,0.5984848484848501,0.0,0.0,0.0
40.667,0,0.0,0.3939393939393922,0.6060606060606079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.667,1,0.0,0.3939393939393922,0.6060606060606079,0.0,0.0,0.0,0.0,0.3939393939393922,0.6060606060606079,0.0,0.0,0.0
40.75,0,0.0,0.3863636363636344,0.6136363636363656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.75,1,0.0,0.3863636363636344,0.6136363636363656,0.0,0.0,0.0,0.0,0.3863636363636344,0.6136363636363656,0.0,0.0,0.0
40.833,0,0.0,0.3787878787878766,0.6212121212121234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.833,1,0.0,0.3787878787878766,0.6212121212121234,0.0,0.0,0.0,0.0,0.3787878787878766,0.6212121212121234,0.0,0.0,0.0
40.917,0,0.0,0.37121212121211883,0.6287878787878812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.917,1,0.0,0.37121212121211883,0.6287878787878812,0.0,0.0,0.0,0.0,0.37121212121211883,0.6287878787878812,0.0,0.0,0.0
41.0,0,0.0,0.36363636363636104,0.636363636363639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,1,0.0,0.36363636363636104,0.636363636363639,0.0,0.0,0.0,0.0,0.36363636363636104,0.636363636363639,0.0,0.0,0.0
41.083,0,0.0,0.35606060606060325,0.6439393939393968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.083,1,0.0,0.35606060606060325,0.6439393939393968,0.0,0.0,0.0,0.0,0.35606060606060325,0.6439393939393968,0.0,0.0,0.0
41.167,0,0.0,0.34848484848484546,0.6515151515151546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.167,1,0.0,0.34848484848484546,0.6515151515151546,0.0,0.0,0.0,0.0,0.34848484848484546,0.6515151515151546,0.0,0.0,0.0
41.25,0,0.0,0.34090909090908766,0.6590909090909124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.25,1,0.0,0.34090909090908766,0.6590909090909124,0.0,0.0,0.0,0.0,0.34090909090908766,0.6590909090909124,0.0,0.0,0.0
41.333,0,0.0,0.3333333333333299,0.6666666666666702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.333,1,0.0,0.3333333333333299,0.6666666666666702,0.0,0.0,0.0,0.0,0.3333333333333299,0.6666666666666702,0.0,0.0,0.0
41.417,0,0.0,0.3257575757575721,0.674242424242428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.417,1,0.0,0.3257575757575721,0.674242424242428,0.0,0.0,0.0,0.0,0.3257575757575721,0.674242424242428,0.0,0.0,0.0
41.5,0,0.0,0.3181818181818143,0.6818181818181858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.5,1,0.0,0.3181818181818143,0.6818181818181858,0.0,0.0,0.0,0.0,0.3181818181818143,0.6818181818181858,0.0,0.0,0.0
41.583,0,0.0,0.3106060606060565,0.6893939393939436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.583,1,0.0,0.3106060606060565,0.6893939393939436,0.0,0.0,0.0,0.0,0.3106060606060565,0.6893939393939436,0.0,0.0,0.0
41.667,0,0.0,0.3030303030302987,0.6969696969697013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.667,1,0.0,0.3030303030302987,0.6969696969697013,0.0,0.0,0.0,0.0,0.3030303030302987,0.6969696969697013,0.0,0.0,0.0
41.75,0,0.0,0.2954545454545409,0.7045454545454591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.75,1,0.0,0.2954545454545409,0.7045454545454591,0.0,0.0,0.0,0.0,0.2954545454545409,0.7045454545454591,0.0,0.0,0.0
41.833,0,0.0,0.2878787878787831,0.7121212121212169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.833,1,0.0,0.2878787878787831,0.7121212121212169,0.0,0.0,0.0,0.0,0.2878787878787831,0.7121212121212169,0.0,0.0,0.0
41.917,0,0.0,0.28030303030302534,0.7196969696969747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.917,1,0.0,0.28030303030302534,0.7196969696969747,0.0,0.0,0.0,0.0,0.28030303030302534,0.7196969696969747,0.0,0.0,0.0
42.0,0,0.0,0.27272727272726754,0.7272727272727325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,1,0.0,0.27272727272726754,0.7272727272727325,0.0,0.0,0.0,0.0,0.27272727272726754,0.7272727272727325,0.0,0.0,0.0
42.083,0,0.0,0.26515151515150975,0.7348484848484903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.083,1,0.0,0.26515151515150975,0.7348484848484903,0.0,0.0,0.0,0.0,0.26515151515150975,0.7348484848484903,0.0,0.0,0.0
42.167,0,0.0,0.25757575757575196,0.7424242424242481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.167,1,0.0,0.25757575757575196,0.7424242424242481,0.0,0.0,0.0,0.0,0.25757575757575196,0.7424242424242481,0.0,0.0,0.0
42.25,0,0.0,0.2499999999999942,0.7500000000000059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.25,1,0.0,0.2499999999999942,0.7500000000000059,0.0,0.0,0.0,0.0,0.2499999999999942,0.7500000000000059,0.0,0.0,0.0
42.333,0,0.0,0.2424242424242364,0.7575757575757637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.333,1,0.0,0.2424242424242364,0.7575757575757637,0.0,0.0,0.0,0.0,0.2424242424242364,0.7575757575757637,0.0,0.0,0.0
42.417,0,0.0,0.23484848484847862,0.7651515151515215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.417,1,0.0,0.23484848484847862,0.7651515151515215,0.0,0.0,0.0,0.0,0.23484848484847862,0.7651515151515215,0.0,0.0,0.0
42.5,0,0.0,0.22727272727272083,0.7727272727272793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.5,1,0.0,0.22727272727272083,0.7727272727272793,0.0,0.0,0.0,0.0,0.22727272727272083,0.7727272727272793,0.0,0.0,0.0
42.583,0,0.0,0.21969696969696303,0.780303030303037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.583,1,0.0,0.21969696969696303,0.780303030303037,0.0,0.0,0.0,0.0,0.21969696969696303,0.780303030303037,0.0,0.0,0.0
42.667,0,0.0,0.21212121212120524,0.7878787878787948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.667,1,0.0,0.21212121212120524,0.7878787878787948,0.0,0.0,0.0,0.0,0.21212121212120524,0.7878787878787948,0.0,0.0,0.0
42.75,0,0.0,0.20454545454544745,0.7954545454545526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.75,1,0.0,0.20454545454544745,0.7954545454545526,0.0,0.0,0.0,0.0,0.20454545454544745,0.7954545454545526,0.0,0.0,0.0
42.833,0,0.0,0.19696969696968966,0.8030303030303104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.833,1,0.0,0.19696969696968966,0.8030303030303104,0.0,0.0,0.0,0.0,0.19696969696968966,0.8030303030303104,0.0,0.0,0.0
42.917,0,0.0,0.18939393939393187,0.8106060606060682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.917,1,0.0,0.18939393939393187,0.8106060606060682,0.0,0.0,0.0,0.0,0.18939393939393187,0.8106060606060682,0.0,0.0,0.0
43.0,0,0.0,0.18181818181817408,0.818181818181826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,1,0.0,0.18181818181817408,0.818181818181826,0.0,0.0,0.0,0.0,0.18181818181817408,0.818181818181826,0.0,0.0,0.0
43.083,0,0.0,0.1742424242424163,0.8257575757575838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.083,1,0.0,0.1742424242424163,0.8257575757575838,0.0,0.0,0.0,0.0,0.1742424242424163,0.8257575757575838,0.0,0.0,0.0
43.167,0,0.0,0.1666666666666585,0.8333333333333416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.167,1,0.0,0.1666666666666585,0.8333333333333416,0.0,0.0,0.0,0.0,0.1666666666666585,0.8333333333333416,0.0,0.0,0.0
43.25,0,0.0,0.1590909090909007,0.8409090909090994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.25,1,0.0,0.1590909090909007,0.8409090909090994,0.0,0.0,0.0,0.0,0.1590909090909007,0.8409090909090994,0.0,0.0,0.0
43.333,0,0.0,0.15151515151514292,0.8484848484848572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.333,1,0.0,0.15151515151514292,0.8484848484848572,0.0,0.0,0.0,0.0,0.15151515151514292,0.8484848484848572,0.0,0.0,0.0
43.417,0,0.0,0.14393939393938512,0.856060606060615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.417,1,0.0,0.14393939393938512,0.856060606060615,0.0,0.0,0.0,0.0,0.14393939393938512,0.856060606060615,0.0,0.0,0.0
43.5,0,0.0,0.13636363636362733,0.8636363636363728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.5,1,0.0,0.13636363636362733,0.8636363636363728,0.0,0.0,0.0,0.0,0.13636363636362733,0.8636363636363728,0.0,0.0,0.0
43.583,0,0.0,0.12878787878786954,0.8712121212121305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.583,1,0.0,0.12878787878786954,0.8712121212121305,0.0,0.0,0.0,0.0,0.12878787878786954,0.8712121212121305,0.0,0.0,0.0
43.667,0,0.0,0.12121212121211174,0.8787878787878883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.667,1,0.0,0.12121212121211174,0.8787878787878883,0.0,0.0,0.0,0.0,0.12121212121211174,0.8787878787878883,0.0,0.0,0.0
43.75,0,0.0,0.11363636363635395,0.8863636363636461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.75,1,0.0,0.11363636363635395,0.8863636363636461,0.0,0.0,0.0,0.0,0.11363636363635395,0.8863636363636461,0.0,0.0,0.0
43.833,0,0.0,0.10606060606059615,0.8939393939394039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.833,1,0.0,0.10606060606059615,0.8939393939394039,0.0,0.0,0.0,0.0,0.10606060606059615,0.8939393939394039,0.0,0.0,0.0
43.917,0,0.0,0.09848484848483836,0.9015151515151617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.917,1,0.0,0.09848484848483836,0.9015151515151617,0.0,0.0,0.0,0.0,0.09848484848483836,0.9015151515151617,0.0,0.0,0.0
44.0,0,0.0,0.09090909090908057,0.9090909090909195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,1,0.0,0.09090909090908057,0.9090909090909195,0.0,0.0,0.0,0.0,0.09090909090908057,0.9090909090909195,0.0,0.0,0.0
44.083,0,0.0,0.08333333333332278,0.9166666666666773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.083,1,0.0,0.08333333333332278,0.9166666666666773,0.0,0.0,0.0,0.0,0.08333333333332278,0.9166666666666773,0.0,0.0,0.0
44.167,0,0.0,0.07575757575756499,0.9242424242424351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.167,1,0.0,0.07575757575756499,0.9242424242424351,0.0,0.0,0.0,0.0,0.07575757575756499,0.9242424242424351,0.0,0.0,0.0
