"GEOID","Tract","County","State","POV_P","NOHSDP_P","NONEMP_P","RENT_P","CROWD_P","SNGPNT_P","NOVEH_P","B01001_001","SDI_2023_Raw","SDI_2023"
"01001020100","Census Tract 201"," Autauga County"," Alabama",0.190760869565217,0.146945088940449,0.330687830687831,0.264880952380952,0.0208333333333333,0.096969696969697,0.0535714285714286,1840,0.612826831094845,74
"01001020200","Census Tract 202"," Autauga County"," Alabama",0.021264689423615,0.104651162790698,0.338530066815145,0.31993006993007,0.0174825174825175,0.0108108108108108,0.0646853146853147,2017,-0.6908816610743,29
"01001020300","Census Tract 203"," Autauga County"," Alabama",0.0951972555746141,0.187979539641944,0.262589928057554,0.33439744612929,0.0319233838786911,0.232,0.083000798084597,3515,0.495199056770249,70
"01001020400","Census Tract 204"," Autauga County"," Alabama",0.149246102734475,0.0758245494729684,0.304347826086957,0.220266990291262,0.0103155339805825,0.0903765690376569,0.0618932038834951,3913,0.13341794236503,58
"01001020501","Census Tract 205.01"," Autauga County"," Alabama",0.0111028867505551,0.0359242325277596,0.215357142857143,0.444383860414395,0,0.00415282392026578,0,4053,-1.43502746989178,7
"01001020502","Census Tract 205.02"," Autauga County"," Alabama",0.132327831531019,0.0307396733909702,0.250254323499491,0.500375093773443,0,0.0911062906724512,0.040510127531883,3514,-0.124545678335996,49
"01001020503","Census Tract 205.03"," Autauga County"," Alabama",0.131034482758621,0.0659477395271671,0.424967935014964,0.542918454935622,0,0.0397727272727273,0.0200286123032904,3493,-0.0512466841149566,51
"01001020600","Census Tract 206"," Autauga County"," Alabama",0.0617823947512302,0.165141430948419,0.379831186139494,0.199118295371051,0.00514327700220426,0.0916289592760181,0.0227773695811903,3658,-0.405830124918666,38
"01001020700","Census Tract 207"," Autauga County"," Alabama",0.170722847802397,0.0810947795235682,0.346739130434783,0.278388278388278,0.00366300366300366,0.161500815660685,0.00915750915750916,2815,0.213859691114995,60
"01001020801","Census Tract 208.01"," Autauga County"," Alabama",0.117905207723815,0.0809563758389262,0.240802675585284,0.25,0.0159395973154362,0.16952380952381,0,3431,-0.0793724900155989,50
