agegrp,insurance,black,noplace,se
19-24,0,0,0.4264614291684755,0.04687182217414128
25-34,0,0,0.47487531568967645,0.041946173025516446
35-44,0,0,0.47348296031278664,0.04813198140729836
45-54,0,0,0.41510397381820646,0.04816977638802924
55-64,0,0,0.37502625758409003,0.05168071331175298
65-74,0,0,0,0
75+,0,0,0.27183417415236344,0.15612125750402053
19-24,1,0,0.27502117978560775,0.03307204402344761
25-34,1,0,0.22718327906757912,0.022943519145640256
35-44,1,0,0.14444615047673826,0.01923726463571029
45-54,1,0,0.11342027702986843,0.02132995250459944
55-64,1,0,0.09350241704344164,0.0175012598922245
65-74,1,0,0.04116024945837721,0.01165825805164476
75+,1,0,0.03393398395595298,0.009137804164739886
19-24,0,1,0.42401085501880625,0.05056112915679553
25-34,0,1,0.43873890324090814,0.05489247827174989
35-44,0,1,0.4371321666391906,0.04605073306326671
45-54,0,1,0.39629134634121044,0.06102458719658424
55-64,0,1,0.4084965869231505,0.057086708225310326
65-74,0,1,0.3314571795130403,0.1860421838457001
75+,0,1,0,0
19-24,1,1,0.28061654787427354,0.03842210094474149
25-34,1,1,0.2083934078214085,0.02255770277019579
35-44,1,1,0.14716581952660346,0.02334678713329229
45-54,1,1,0.0932266274163195,0.02183706214625854
55-64,1,1,0.13378002070259118,0.025465506933344036
65-74,1,1,0.07918116681761503,0.017213156437604335
75+,1,1,0.04362441589348399,0.03154824943982757
