N,E,S1,S2,D
0.32592,0.15841,0.35296,0.16271,0.0
0.31283,0.16087,0.34613,0.17978,0.00039
0.3125,0.16083,0.34583,0.18004,0.0008
0.31273,0.16148,0.34545,0.17905,0.00129
0.3127,0.16196,0.34524,0.17851,0.00159
0.31303,0.1628,0.34504,0.17712,0.00201
0.31288,0.16335,0.34469,0.17663,0.00245
0.31328,0.16436,0.34442,0.17518,0.00276
0.31304,0.16459,0.34452,0.1747,0.00315
0.31334,0.16539,0.34427,0.17353,0.00347
0.31347,0.16602,0.34376,0.17285,0.0039
0.31355,0.16694,0.34368,0.17152,0.00431
0.3131,0.16722,0.34367,0.17143,0.00458
0.31439,0.16743,0.34157,0.1716,0.00501
0.31411,0.16791,0.34134,0.17115,0.00549
0.31423,0.16897,0.34059,0.17041,0.0058
0.31485,0.16934,0.3401,0.16955,0.00616
0.31548,0.17016,0.33992,0.16789,0.00655
0.31541,0.17046,0.33967,0.16743,0.00703
0.31557,0.17114,0.33942,0.16642,0.00745
0.31557,0.1714,0.33872,0.16637,0.00794
0.3162,0.17213,0.33815,0.16519,0.00833
0.31628,0.17257,0.33827,0.16425,0.00863
0.31694,0.17317,0.33735,0.16356,0.00898
0.31649,0.17323,0.33743,0.16343,0.00942
0.31801,0.17385,0.33669,0.16164,0.00981
0.31835,0.17356,0.33676,0.16109,0.01024
0.31864,0.17393,0.33666,0.1601,0.01067
0.3192,0.17352,0.33683,0.15939,0.01106
0.31999,0.17417,0.33631,0.15807,0.01146
0.32009,0.17415,0.33613,0.15777,0.01186
0.32101,0.17472,0.33557,0.15644,0.01226
0.32101,0.1746,0.3357,0.15591,0.01278
0.32155,0.17487,0.33538,0.15508,0.01312
0.32146,0.17531,0.33507,0.15472,0.01344
0.3219,0.17593,0.33481,0.15354,0.01382
0.32196,0.17628,0.33448,0.15309,0.01419
0.32239,0.17736,0.33377,0.15189,0.01459
0.32256,0.17769,0.33321,0.15156,0.01498
0.32334,0.1777,0.33275,0.15082,0.01539
0.32313,0.1784,0.33236,0.15035,0.01576
0.32404,0.17924,0.33091,0.14958,0.01623
0.32382,0.17977,0.33048,0.14924,0.01669
0.32466,0.18012,0.32969,0.14851,0.01702
0.32459,0.18011,0.32936,0.14845,0.01749
0.3253,0.18041,0.32826,0.14806,0.01797
0.32573,0.18045,0.32787,0.14745,0.0185
0.32641,0.18114,0.32665,0.14691,0.01889
0.32628,0.18099,0.32621,0.14719,0.01933
0.32708,0.18178,0.32534,0.1461,0.0197
0.32724,0.18165,0.32518,0.14567,0.02026
0.32782,0.18226,0.32433,0.14501,0.02058
0.32778,0.18245,0.324,0.14479,0.02098
0.32846,0.18272,0.32325,0.14425,0.02132
0.32807,0.1829,0.32321,0.14412,0.0217
0.32878,0.18317,0.32251,0.14342,0.02212
0.32876,0.18364,0.32212,0.143,0.02248
0.32927,0.1837,0.32197,0.14207,0.02299
0.32925,0.18419,0.32159,0.14154,0.02343
0.33002,0.18433,0.32078,0.14103,0.02384
0.33005,0.18417,0.32074,0.14084,0.0242
0.33067,0.18485,0.31991,0.13994,0.02463
0.33116,0.18493,0.31894,0.1398,0.02517
0.33169,0.18483,0.3186,0.13935,0.02553
0.33198,0.18513,0.31796,0.139,0.02593
0.33241,0.18585,0.31712,0.1383,0.02632
0.33218,0.1855,0.31724,0.13838,0.0267
0.33306,0.18606,0.31597,0.1378,0.02711
0.33312,0.18613,0.31553,0.1377,0.02752
0.33389,0.18624,0.3146,0.13729,0.02798
0.33408,0.18595,0.31438,0.13715,0.02844
0.33458,0.1863,0.31361,0.13659,0.02892
0.33455,0.18594,0.31349,0.13668,0.02934
0.33517,0.18606,0.31289,0.13597,0.02991
0.33523,0.18642,0.3123,0.13579,0.03026
0.33564,0.18641,0.31161,0.13569,0.03065
0.3358,0.18621,0.31102,0.13588,0.03109
0.33644,0.18636,0.30981,0.13588,0.03151
0.33669,0.18631,0.30914,0.13585,0.03201
0.33739,0.18659,0.30826,0.13524,0.03252
0.33758,0.18648,0.30793,0.13502,0.03299
0.33778,0.1866,0.30756,0.13467,0.03339
0.33833,0.18692,0.30649,0.13435,0.03391
0.33863,0.18708,0.30555,0.13426,0.03448
0.33876,0.1867,0.30518,0.13449,0.03487
0.339,0.187,0.3049,0.13382,0.03528
0.33906,0.18668,0.30486,0.13364,0.03576
0.3393,0.18662,0.30409,0.13372,0.03627
0.33897,0.18665,0.30352,0.13409,0.03677
0.33925,0.1865,0.30342,0.13365,0.03718
0.33917,0.18632,0.30318,0.13377,0.03756
0.33952,0.18638,0.30275,0.13334,0.03801
0.33979,0.18654,0.30198,0.13319,0.0385
0.34018,0.1869,0.30094,0.13305,0.03893
0.33978,0.18701,0.30058,0.13321,0.03942
0.34003,0.18754,0.29949,0.13321,0.03973
0.33991,0.18711,0.29925,0.13344,0.04029
0.34041,0.18766,0.2983,0.13289,0.04074
0.34029,0.18795,0.29784,0.13274,0.04118
0.34029,0.18795,0.29764,0.13235,0.04177
0.3396,0.18849,0.29726,0.13228,0.04237
0.34008,0.18867,0.29661,0.13183,0.04281
0.33977,0.189,0.29608,0.13177,0.04338
0.3399,0.18916,0.29525,0.13185,0.04384
0.34007,0.18919,0.29464,0.13181,0.04429
0.34004,0.18904,0.2948,0.13138,0.04474
0.33956,0.1894,0.29465,0.13124,0.04515
0.34033,0.18989,0.29336,0.13074,0.04568
0.34007,0.18987,0.29316,0.13086,0.04604
0.34017,0.19009,0.29287,0.13032,0.04655
0.33983,0.19008,0.29261,0.13048,0.047
0.33988,0.19021,0.29196,0.13053,0.04742
0.33962,0.19034,0.29193,0.13038,0.04773
0.33999,0.19013,0.29162,0.13013,0.04813
0.33975,0.19029,0.29138,0.12993,0.04865
0.3402,0.19042,0.29051,0.12975,0.04912
0.34019,0.19036,0.29024,0.12948,0.04973
0.34038,0.19077,0.28966,0.12906,0.05013
0.34054,0.19041,0.28906,0.1293,0.05069
0.34118,0.19033,0.2883,0.12916,0.05103
0.34074,0.19023,0.2882,0.12941,0.05142
0.34123,0.19021,0.28745,0.12917,0.05194
0.34083,0.19093,0.28689,0.129,0.05235
0.34109,0.19085,0.28629,0.12881,0.05296
0.34066,0.19078,0.28629,0.12875,0.05352
0.34091,0.19067,0.28618,0.12831,0.05393
0.34066,0.19087,0.28595,0.12819,0.05433
0.34044,0.19121,0.28551,0.12796,0.05488
0.3397,0.1912,0.28558,0.12806,0.05546
0.33948,0.19133,0.28554,0.12768,0.05597
0.33912,0.19156,0.28498,0.12781,0.05653
0.33898,0.19183,0.28441,0.12781,0.05697
0.3388,0.19176,0.28402,0.12801,0.05741
0.3388,0.19219,0.28342,0.12765,0.05794
0.33843,0.19244,0.28298,0.12772,0.05843
0.33831,0.19265,0.28239,0.12747,0.05918
0.33853,0.1919,0.28256,0.12738,0.05963
0.33882,0.19195,0.28234,0.12676,0.06013
0.33876,0.19185,0.28176,0.12691,0.06072
0.33906,0.19174,0.28127,0.1265,0.06143
0.33934,0.19145,0.28075,0.12649,0.06197
0.33918,0.19129,0.28057,0.12644,0.06252
0.33927,0.19097,0.28016,0.12655,0.06305
0.33937,0.19117,0.27956,0.1263,0.0636
0.33867,0.19095,0.27972,0.12649,0.06417
0.33856,0.19124,0.27962,0.12582,0.06476
0.33818,0.19174,0.27906,0.12567,0.06535
0.33828,0.19188,0.27852,0.12536,0.06596
0.33788,0.19194,0.27822,0.12546,0.0665
0.33776,0.19274,0.27747,0.12494,0.06709
0.33701,0.19289,0.27795,0.12456,0.06759
0.33685,0.19317,0.27755,0.12424,0.06819
0.33634,0.19348,0.27734,0.12402,0.06882
0.33629,0.19383,0.27683,0.12367,0.06938
0.33605,0.19392,0.27654,0.12354,0.06995
0.33598,0.19376,0.27656,0.12314,0.07056
0.33574,0.19359,0.27656,0.12297,0.07114
0.3354,0.19375,0.27587,0.12307,0.07191
0.33533,0.1938,0.2756,0.1228,0.07247
0.33529,0.19377,0.27485,0.1229,0.07319
0.33519,0.19381,0.27416,0.12298,0.07386
0.3354,0.19345,0.27406,0.12266,0.07443
0.33533,0.19309,0.27418,0.12247,0.07493
0.33558,0.19343,0.27333,0.12206,0.0756
0.33549,0.19312,0.273,0.12211,0.07628
0.33554,0.19318,0.27229,0.12209,0.0769
0.33584,0.19273,0.2716,0.12226,0.07757
0.3362,0.19311,0.27067,0.12174,0.07828
0.33586,0.1926,0.27069,0.12188,0.07897
0.33602,0.1929,0.27022,0.12121,0.07965
