N,E,S1,S2,D
0.32592,0.15841,0.35296,0.16271,0.0
0.31283,0.16087,0.34613,0.17978,0.00039
0.3125,0.16083,0.34583,0.18004,0.0008
0.3128,0.16165,0.34544,0.17882,0.00129
0.31284,0.1622,0.34519,0.17818,0.00159
0.31334,0.16311,0.34497,0.17657,0.00201
0.31325,0.16381,0.3446,0.17589,0.00245
0.31374,0.16502,0.34442,0.17406,0.00276
0.31357,0.1653,0.34455,0.17343,0.00315
0.31399,0.16622,0.34439,0.17193,0.00347
0.31417,0.16701,0.34381,0.17111,0.0039
0.31442,0.16815,0.34356,0.16956,0.00431
0.31402,0.16854,0.34344,0.16942,0.00458
0.31571,0.16868,0.34123,0.16937,0.00501
0.31554,0.16923,0.34091,0.16883,0.00549
0.31584,0.17032,0.34018,0.16786,0.0058
0.31653,0.17074,0.33975,0.16682,0.00616
0.31735,0.17169,0.33945,0.16496,0.00655
0.31738,0.17204,0.33918,0.16438,0.00702
0.31764,0.17286,0.33893,0.16313,0.00744
0.31777,0.17311,0.33817,0.16302,0.00793
0.3185,0.17396,0.33768,0.16154,0.00832
0.31866,0.17458,0.33764,0.1605,0.00862
0.31936,0.17527,0.3367,0.15971,0.00896
0.31898,0.17532,0.33679,0.15951,0.0094
0.32065,0.17586,0.33593,0.15777,0.00979
0.3211,0.17558,0.33592,0.15718,0.01022
0.32149,0.17593,0.33566,0.15628,0.01064
0.32206,0.17557,0.33579,0.15556,0.01102
0.32304,0.17618,0.33519,0.15417,0.01142
0.32326,0.17617,0.33487,0.15388,0.01182
0.32438,0.1768,0.33403,0.15257,0.01222
0.32446,0.17664,0.33422,0.15194,0.01274
0.32517,0.1769,0.33376,0.1511,0.01307
0.32524,0.17728,0.33343,0.15067,0.01338
0.32566,0.17796,0.33301,0.14961,0.01376
0.32575,0.17823,0.33284,0.14905,0.01413
0.32633,0.17927,0.33219,0.14768,0.01453
0.32657,0.17964,0.33146,0.14741,0.01492
0.32739,0.17965,0.33085,0.14678,0.01533
0.32733,0.18024,0.33048,0.14625,0.0157
0.32838,0.18113,0.32899,0.14533,0.01617
0.32829,0.18156,0.32855,0.14497,0.01663
0.32909,0.18194,0.32782,0.14419,0.01696
0.32901,0.18186,0.32771,0.14399,0.01743
0.32985,0.18227,0.32642,0.14355,0.01791
0.33036,0.18231,0.32595,0.14295,0.01843
0.33144,0.18285,0.32465,0.14224,0.01882
0.33139,0.18261,0.3243,0.14244,0.01926
0.33212,0.18355,0.32342,0.14128,0.01963
0.33226,0.18351,0.32324,0.1408,0.02019
0.33295,0.18391,0.32254,0.1401,0.0205
0.33297,0.1843,0.32202,0.13981,0.0209
0.33376,0.1845,0.3212,0.1393,0.02124
0.33337,0.1848,0.32105,0.13916,0.02162
0.3341,0.18515,0.32043,0.13828,0.02204
0.33421,0.18562,0.31999,0.13778,0.0224
0.33484,0.18583,0.31958,0.13684,0.02291
0.3348,0.1865,0.31904,0.13632,0.02334
0.33555,0.18667,0.3183,0.13573,0.02375
0.33562,0.18637,0.31839,0.13551,0.02411
0.33635,0.18708,0.31742,0.13461,0.02454
0.33693,0.18725,0.31641,0.13434,0.02507
0.33759,0.18698,0.31607,0.13394,0.02542
0.33798,0.18718,0.31546,0.13356,0.02582
0.33854,0.18789,0.31448,0.13288,0.02621
0.33839,0.18759,0.3146,0.13283,0.02659
0.33937,0.18813,0.31327,0.13224,0.02699
0.33947,0.18821,0.31278,0.13214,0.0274
0.34037,0.18814,0.31191,0.13173,0.02785
0.34062,0.18793,0.31153,0.13161,0.02831
0.34124,0.18815,0.31079,0.13104,0.02878
0.34125,0.18781,0.31078,0.13096,0.0292
0.34198,0.18806,0.3099,0.1303,0.02976
0.34214,0.18841,0.30918,0.13016,0.03011
0.34259,0.1884,0.3084,0.13011,0.0305
0.34277,0.1882,0.30776,0.13033,0.03094
0.34358,0.18824,0.30637,0.13046,0.03135
0.34382,0.18816,0.30565,0.13053,0.03184
0.34461,0.18848,0.30464,0.12992,0.03235
0.3449,0.18826,0.30423,0.1298,0.03281
0.34511,0.18851,0.30363,0.12954,0.03321
0.34562,0.18891,0.30251,0.12923,0.03373
0.34599,0.18921,0.3014,0.1291,0.0343
0.34616,0.18887,0.30085,0.12944,0.03468
0.34659,0.18913,0.30053,0.12866,0.03509
0.34674,0.18874,0.30037,0.12858,0.03557
0.34711,0.18849,0.29963,0.12869,0.03608
0.34684,0.1884,0.29906,0.12912,0.03658
0.34734,0.1883,0.29868,0.1287,0.03698
0.34725,0.18818,0.29843,0.12878,0.03736
0.34769,0.18829,0.29783,0.12839,0.0378
0.34789,0.18838,0.29724,0.12822,0.03827
0.34831,0.18868,0.29628,0.12803,0.0387
0.34796,0.18883,0.29591,0.12814,0.03916
0.34823,0.18933,0.29484,0.12813,0.03947
0.3481,0.1888,0.29487,0.1282,0.04003
0.34868,0.18929,0.29398,0.12758,0.04047
0.3486,0.1897,0.29337,0.12742,0.04091
0.34866,0.18981,0.29301,0.12703,0.04149
0.34796,0.19028,0.29271,0.12697,0.04208
0.34855,0.19041,0.29203,0.12649,0.04252
0.3483,0.19069,0.29142,0.1265,0.04309
0.34853,0.19083,0.29054,0.12657,0.04353
0.34874,0.191,0.28974,0.12655,0.04397
0.3487,0.19093,0.28977,0.12619,0.04441
0.34819,0.19147,0.28948,0.12604,0.04482
0.34902,0.19206,0.28806,0.12551,0.04535
0.34874,0.19194,0.28812,0.1255,0.0457
0.34891,0.19208,0.28802,0.12478,0.04621
0.34854,0.19216,0.28778,0.12486,0.04666
0.3486,0.19219,0.28729,0.12486,0.04706
0.34838,0.19239,0.28712,0.12475,0.04736
0.34873,0.19211,0.28699,0.12442,0.04775
0.34849,0.1923,0.28675,0.12419,0.04827
0.34903,0.19232,0.28591,0.124,0.04874
0.34909,0.19216,0.28575,0.12365,0.04935
0.34942,0.19242,0.28524,0.12317,0.04975
0.34968,0.19212,0.28455,0.12335,0.0503
0.3505,0.19193,0.2837,0.12323,0.05064
0.35003,0.19184,0.28363,0.12347,0.05103
0.35074,0.19167,0.28272,0.12333,0.05154
0.35031,0.19247,0.28215,0.12312,0.05195
0.35066,0.19234,0.28149,0.12296,0.05255
0.35022,0.19238,0.28142,0.12287,0.05311
0.35061,0.19231,0.28107,0.1225,0.05351
0.35035,0.19249,0.28087,0.1224,0.05389
0.35032,0.19277,0.28034,0.12214,0.05443
0.34956,0.19274,0.28051,0.12219,0.055
0.34948,0.19287,0.28037,0.12177,0.05551
0.34921,0.19301,0.27977,0.12195,0.05606
0.34913,0.19343,0.27903,0.12192,0.05649
0.34898,0.19328,0.27859,0.12222,0.05693
0.34903,0.19362,0.27791,0.12198,0.05746
0.34869,0.19373,0.27759,0.12204,0.05795
0.34855,0.1939,0.27703,0.12183,0.05869
0.34862,0.19325,0.27724,0.12175,0.05914
0.34897,0.1934,0.27673,0.12126,0.05964
0.34904,0.19327,0.27613,0.12133,0.06023
0.34929,0.19315,0.27583,0.12081,0.06092
0.34956,0.19287,0.27523,0.12088,0.06146
0.34927,0.19281,0.27504,0.12088,0.062
0.34931,0.19252,0.27474,0.1209,0.06253
0.34938,0.19287,0.27411,0.12057,0.06307
0.34875,0.19269,0.27415,0.12078,0.06363
0.34871,0.19294,0.27391,0.12022,0.06422
0.34836,0.19344,0.27326,0.12013,0.06481
0.3485,0.19364,0.27261,0.11983,0.06542
0.34804,0.19381,0.27233,0.11986,0.06596
0.34793,0.19454,0.27161,0.11938,0.06654
0.34735,0.19463,0.27197,0.11903,0.06702
0.34716,0.19496,0.27148,0.11878,0.06762
0.34673,0.19522,0.27134,0.11846,0.06825
0.34667,0.19552,0.27085,0.11815,0.06881
0.34637,0.19584,0.27048,0.11794,0.06937
0.34636,0.19564,0.27055,0.11747,0.06998
0.34615,0.19556,0.2704,0.11733,0.07056
0.34574,0.19581,0.26973,0.1174,0.07132
0.34571,0.19585,0.26949,0.11708,0.07187
0.34575,0.19578,0.26873,0.11715,0.07259
0.34567,0.19573,0.26828,0.11707,0.07325
0.34588,0.19548,0.26813,0.11671,0.0738
0.34583,0.19525,0.26815,0.11647,0.0743
0.34618,0.19544,0.26739,0.11604,0.07495
0.34616,0.19522,0.26685,0.11615,0.07562
0.34608,0.19546,0.26618,0.11604,0.07624
0.34643,0.195,0.26556,0.1161,0.07691
0.34678,0.19542,0.26446,0.11572,0.07762
0.3464,0.19501,0.26437,0.11591,0.07831
0.34685,0.19512,0.26391,0.11514,0.07898
