N,E,S1,S2,D
0.32592,0.15841,0.35296,0.16271,0.0
0.31283,0.16087,0.34613,0.17978,0.00039
0.3125,0.16083,0.34583,0.18004,0.0008
0.31276,0.16162,0.34542,0.17891,0.00129
0.31281,0.16213,0.3452,0.17827,0.00159
0.31321,0.1631,0.34496,0.17672,0.00201
0.3131,0.16382,0.34453,0.1761,0.00245
0.31351,0.16499,0.3443,0.17444,0.00276
0.3133,0.16526,0.34443,0.17386,0.00315
0.31368,0.16607,0.34435,0.17243,0.00347
0.31384,0.16678,0.34388,0.1716,0.0039
0.3141,0.16783,0.34361,0.17015,0.00431
0.31372,0.16814,0.3435,0.17006,0.00458
0.31533,0.16847,0.3412,0.16999,0.00501
0.3151,0.16902,0.34091,0.16948,0.00549
0.31549,0.17002,0.34014,0.16855,0.0058
0.31614,0.17032,0.33984,0.16754,0.00616
0.31695,0.17126,0.33961,0.16563,0.00655
0.31692,0.17169,0.33922,0.16515,0.00702
0.31708,0.17257,0.33893,0.16398,0.00744
0.31724,0.17281,0.3382,0.16382,0.00793
0.31786,0.17362,0.33778,0.16242,0.00832
0.31802,0.17415,0.33771,0.1615,0.00862
0.31862,0.17485,0.33693,0.16064,0.00896
0.31828,0.17485,0.337,0.16047,0.0094
0.32009,0.17546,0.33599,0.15867,0.00979
0.32055,0.17513,0.336,0.1581,0.01022
0.32097,0.17563,0.33584,0.15692,0.01064
0.32157,0.17535,0.33587,0.1562,0.01101
0.32252,0.17613,0.33544,0.1545,0.01141
0.32275,0.17619,0.33501,0.15424,0.01181
0.324,0.1768,0.33433,0.15266,0.01221
0.32401,0.17682,0.33448,0.15198,0.01271
0.32469,0.1773,0.33398,0.15099,0.01304
0.32467,0.17772,0.33356,0.1507,0.01335
0.32531,0.17831,0.33314,0.14952,0.01372
0.32546,0.1784,0.33312,0.14893,0.01409
0.32614,0.17936,0.33242,0.14759,0.01449
0.32649,0.17973,0.33163,0.14727,0.01488
0.32734,0.17984,0.33097,0.14656,0.01529
0.32738,0.18044,0.33051,0.14602,0.01565
0.32866,0.18111,0.32906,0.14505,0.01612
0.32853,0.18164,0.32861,0.14464,0.01658
0.32935,0.182,0.32793,0.14381,0.01691
0.32935,0.18197,0.32774,0.14355,0.01739
0.33025,0.1823,0.32647,0.14311,0.01787
0.3307,0.18241,0.32599,0.14251,0.01839
0.33189,0.18272,0.32476,0.14185,0.01878
0.33174,0.18248,0.32441,0.14215,0.01922
0.33246,0.18347,0.32359,0.14089,0.01959
0.33267,0.1834,0.32336,0.14042,0.02015
0.33329,0.18411,0.32242,0.13972,0.02046
0.33328,0.1845,0.32193,0.13943,0.02086
0.33415,0.1847,0.32102,0.13893,0.0212
0.33381,0.18502,0.3208,0.13879,0.02158
0.3345,0.18531,0.32026,0.13793,0.022
0.33459,0.18581,0.31987,0.13737,0.02236
0.3353,0.18594,0.31945,0.13644,0.02287
0.3353,0.18657,0.31903,0.13579,0.02331
0.3361,0.18692,0.31814,0.13512,0.02372
0.3362,0.18676,0.31802,0.13494,0.02408
0.33693,0.18737,0.31731,0.13388,0.02451
0.33757,0.18752,0.31625,0.13362,0.02504
0.33828,0.18742,0.31574,0.13317,0.02539
0.33871,0.18769,0.31488,0.13293,0.02579
0.33942,0.18823,0.31395,0.13222,0.02618
0.33902,0.18818,0.31403,0.13221,0.02656
0.34008,0.18859,0.31284,0.13154,0.02695
0.34019,0.18864,0.31235,0.13146,0.02736
0.34108,0.18853,0.31159,0.13099,0.02781
0.34132,0.18824,0.31124,0.13093,0.02827
0.34198,0.18859,0.31036,0.13032,0.02875
0.34205,0.18819,0.31033,0.13026,0.02917
0.3427,0.18844,0.30965,0.12949,0.02972
0.34291,0.18871,0.30897,0.12934,0.03007
0.34323,0.18884,0.30829,0.12919,0.03045
0.34335,0.18877,0.30763,0.12936,0.03089
0.34412,0.18869,0.30659,0.1293,0.0313
0.34434,0.18871,0.30588,0.12928,0.03179
0.34509,0.18904,0.3049,0.12867,0.0323
0.34518,0.18891,0.30455,0.12859,0.03277
0.34556,0.18894,0.30406,0.12828,0.03316
0.34597,0.18937,0.30313,0.12785,0.03368
0.34643,0.1896,0.30192,0.1278,0.03425
0.34654,0.18926,0.30151,0.12805,0.03464
0.347,0.1894,0.30134,0.12721,0.03505
0.34705,0.1891,0.3012,0.12712,0.03553
0.34751,0.18886,0.30024,0.12736,0.03603
0.34737,0.18859,0.29976,0.12775,0.03653
0.34785,0.18838,0.29958,0.12724,0.03695
0.34783,0.18821,0.29925,0.12738,0.03733
0.34824,0.18848,0.29848,0.12703,0.03777
0.3484,0.18872,0.29776,0.12688,0.03824
0.34885,0.189,0.29664,0.12684,0.03867
0.34856,0.18915,0.29606,0.12709,0.03914
0.34889,0.18965,0.29482,0.12719,0.03945
0.34879,0.18918,0.29458,0.12744,0.04001
0.34932,0.18981,0.29364,0.12677,0.04046
0.3492,0.19034,0.2929,0.12666,0.0409
0.34934,0.19041,0.29245,0.12632,0.04148
0.34861,0.19082,0.29228,0.12623,0.04206
0.34908,0.19115,0.29141,0.12586,0.0425
0.34902,0.19132,0.29073,0.12586,0.04307
0.3493,0.19141,0.28989,0.1259,0.0435
0.34952,0.19165,0.28916,0.12573,0.04394
0.34942,0.1916,0.28926,0.12533,0.04439
0.34891,0.19209,0.28908,0.12512,0.0448
0.34969,0.19265,0.28763,0.1247,0.04533
0.34923,0.19276,0.28758,0.12475,0.04568
0.34955,0.19288,0.28716,0.12421,0.0462
0.34939,0.19275,0.28676,0.12444,0.04666
0.34938,0.19294,0.28616,0.12445,0.04707
0.34922,0.19311,0.28588,0.12442,0.04737
0.34963,0.19285,0.28573,0.12403,0.04776
0.34933,0.1929,0.2857,0.12379,0.04828
0.34983,0.19291,0.285,0.12351,0.04875
0.34978,0.19273,0.28483,0.1233,0.04936
0.35017,0.19283,0.28438,0.12286,0.04976
0.35045,0.19247,0.28375,0.12302,0.05031
0.35135,0.19243,0.28264,0.12292,0.05066
0.35092,0.1923,0.2825,0.12323,0.05105
0.35163,0.19211,0.28172,0.12299,0.05155
0.35112,0.19296,0.28114,0.12283,0.05195
0.35142,0.19264,0.28066,0.12273,0.05255
0.35089,0.19279,0.2806,0.12262,0.0531
0.35126,0.1928,0.28034,0.1221,0.0535
0.35097,0.19283,0.28022,0.12209,0.05389
0.35098,0.1931,0.27972,0.12178,0.05442
0.35026,0.19297,0.2799,0.12188,0.05499
0.35025,0.19304,0.27967,0.12154,0.0555
0.35,0.1931,0.2791,0.12175,0.05605
0.34989,0.19348,0.2783,0.12185,0.05648
0.3496,0.19334,0.27819,0.12195,0.05692
0.34949,0.1937,0.27777,0.12159,0.05745
0.34902,0.19402,0.27741,0.12161,0.05794
0.34895,0.19404,0.27704,0.1213,0.05867
0.34897,0.19343,0.27721,0.12127,0.05912
0.34939,0.19356,0.27658,0.12085,0.05962
0.34951,0.19337,0.27599,0.12092,0.06021
0.34968,0.1933,0.27567,0.12045,0.0609
0.35003,0.1928,0.27522,0.12051,0.06144
0.34977,0.19282,0.27503,0.1204,0.06198
0.34995,0.19246,0.27463,0.12046,0.0625
0.35012,0.19268,0.2741,0.12006,0.06304
0.34944,0.1926,0.27411,0.12025,0.0636
0.3493,0.19288,0.27391,0.11972,0.06419
0.34883,0.19327,0.27363,0.11949,0.06478
0.34896,0.19338,0.27312,0.11914,0.0654
0.34841,0.19353,0.27291,0.11921,0.06594
0.3483,0.19418,0.27236,0.11863,0.06653
0.34775,0.19424,0.27272,0.11827,0.06702
0.34746,0.19471,0.27222,0.11799,0.06762
0.34702,0.19485,0.27217,0.1177,0.06826
0.3469,0.19509,0.27167,0.11753,0.06881
0.34671,0.19533,0.27125,0.11735,0.06936
0.34665,0.19526,0.27126,0.11687,0.06996
0.34642,0.1952,0.27107,0.11677,0.07054
0.34601,0.19543,0.27036,0.11689,0.07131
0.34599,0.19549,0.27007,0.11659,0.07186
0.34595,0.19549,0.26924,0.11673,0.07259
0.34578,0.19552,0.2688,0.11665,0.07325
0.34597,0.19539,0.26852,0.11632,0.0738
0.34577,0.1953,0.26846,0.11618,0.07429
0.34587,0.19565,0.26792,0.11563,0.07493
0.34581,0.1954,0.26741,0.11577,0.07561
0.34599,0.19531,0.26694,0.11552,0.07624
0.34632,0.19482,0.26639,0.11556,0.07691
0.3467,0.19515,0.26542,0.11511,0.07762
0.34627,0.19462,0.26554,0.11526,0.07831
0.3465,0.19501,0.26494,0.11457,0.07898
