N,E,S1,S2,D
0.32592,0.15841,0.35296,0.16271,0.0
0.31283,0.16087,0.34613,0.17978,0.00039
0.3125,0.16083,0.34583,0.18004,0.0008
0.31276,0.1617,0.34549,0.17876,0.00129
0.31281,0.16233,0.34519,0.17808,0.00159
0.31333,0.16329,0.34495,0.17642,0.00201
0.31327,0.16402,0.34455,0.17571,0.00245
0.3138,0.16532,0.34424,0.17388,0.00276
0.31367,0.16565,0.34435,0.17318,0.00315
0.31419,0.16653,0.34416,0.17165,0.00347
0.31443,0.16732,0.3436,0.17075,0.0039
0.31479,0.16848,0.34324,0.16918,0.00431
0.31442,0.16884,0.34311,0.16905,0.00458
0.3161,0.16909,0.34092,0.16888,0.00501
0.31598,0.16956,0.34065,0.16832,0.00549
0.31641,0.17058,0.33986,0.16735,0.0058
0.31716,0.17091,0.33945,0.16632,0.00616
0.31808,0.17179,0.33922,0.16436,0.00655
0.31807,0.17217,0.33892,0.16382,0.00702
0.31823,0.17304,0.3387,0.16259,0.00744
0.31848,0.17322,0.33795,0.16242,0.00793
0.31929,0.17396,0.33752,0.16091,0.00832
0.31956,0.17459,0.33733,0.1599,0.00862
0.32015,0.17535,0.3365,0.15904,0.00896
0.31981,0.17536,0.33657,0.15886,0.0094
0.32181,0.17595,0.33543,0.15702,0.00979
0.32229,0.17569,0.33543,0.15637,0.01022
0.32271,0.1761,0.33527,0.15528,0.01064
0.32337,0.17575,0.33537,0.1545,0.01101
0.32442,0.17651,0.33489,0.15277,0.01141
0.32474,0.17654,0.33442,0.1525,0.0118
0.32609,0.17705,0.33373,0.15093,0.0122
0.32602,0.17708,0.33403,0.15017,0.0127
0.32683,0.17736,0.33358,0.1492,0.01303
0.32693,0.17777,0.33311,0.14885,0.01334
0.32763,0.17834,0.33261,0.14772,0.0137
0.32779,0.1786,0.33238,0.14716,0.01407
0.32859,0.17965,0.33154,0.14575,0.01447
0.32903,0.17996,0.33065,0.1455,0.01486
0.32991,0.17995,0.33015,0.14473,0.01526
0.32994,0.18056,0.32967,0.14421,0.01562
0.33122,0.18118,0.32828,0.14323,0.01609
0.33109,0.18169,0.32776,0.14291,0.01655
0.33199,0.18214,0.32692,0.14207,0.01688
0.33207,0.182,0.32667,0.1419,0.01736
0.33295,0.18249,0.32533,0.14139,0.01784
0.33351,0.18254,0.32481,0.14078,0.01836
0.33472,0.18295,0.32345,0.14013,0.01875
0.33471,0.18254,0.32314,0.14042,0.01919
0.33553,0.18342,0.32225,0.13924,0.01956
0.33577,0.18338,0.322,0.13873,0.02012
0.3365,0.18394,0.32115,0.13798,0.02043
0.33664,0.18427,0.32059,0.13767,0.02083
0.33763,0.18434,0.31972,0.13714,0.02117
0.33728,0.18471,0.31951,0.13695,0.02155
0.33792,0.18515,0.31887,0.13609,0.02197
0.3381,0.18562,0.31837,0.13558,0.02233
0.33877,0.18577,0.31797,0.13465,0.02284
0.33874,0.18646,0.31752,0.13401,0.02327
0.33966,0.18668,0.31656,0.13342,0.02368
0.33977,0.18659,0.31642,0.13318,0.02404
0.34061,0.1872,0.31557,0.13215,0.02447
0.34116,0.18751,0.31445,0.13188,0.025
0.34193,0.18723,0.31404,0.13145,0.02535
0.34243,0.18743,0.31326,0.13113,0.02575
0.34321,0.1879,0.31234,0.13041,0.02614
0.343,0.18782,0.31227,0.13039,0.02652
0.34414,0.18808,0.31112,0.12975,0.02691
0.34425,0.18817,0.3107,0.12956,0.02732
0.34515,0.18806,0.30997,0.12905,0.02777
0.3454,0.18774,0.30969,0.12894,0.02823
0.34618,0.18799,0.30879,0.12833,0.02871
0.34623,0.18758,0.30875,0.12831,0.02913
0.34693,0.18786,0.30799,0.12754,0.02968
0.34719,0.18802,0.30734,0.12742,0.03003
0.34753,0.18809,0.30677,0.1272,0.03041
0.34765,0.18802,0.30614,0.12734,0.03085
0.34841,0.18801,0.3051,0.12722,0.03126
0.3487,0.18798,0.30442,0.12716,0.03174
0.34947,0.18838,0.3034,0.1265,0.03225
0.34966,0.18819,0.30293,0.1265,0.03272
0.35002,0.18815,0.30258,0.12614,0.03311
0.35049,0.18846,0.3017,0.12572,0.03363
0.35099,0.18871,0.30039,0.12571,0.0342
0.35116,0.18835,0.3,0.12592,0.03457
0.35174,0.18851,0.29965,0.12513,0.03497
0.35189,0.18816,0.2995,0.125,0.03545
0.35229,0.18796,0.29865,0.12516,0.03594
0.35214,0.1877,0.29821,0.12551,0.03644
0.35258,0.18753,0.29795,0.12509,0.03685
0.35263,0.18735,0.29762,0.12517,0.03723
0.35305,0.18768,0.29677,0.12483,0.03767
0.35318,0.18796,0.29607,0.12465,0.03814
0.35364,0.18827,0.29499,0.12453,0.03857
0.35351,0.18834,0.2944,0.12474,0.03901
0.35371,0.18893,0.29329,0.12475,0.03932
0.35361,0.1884,0.29315,0.12496,0.03988
0.35412,0.18904,0.29224,0.12427,0.04033
0.35407,0.18953,0.29148,0.12415,0.04077
0.35422,0.18958,0.29107,0.12378,0.04135
0.35352,0.19002,0.29082,0.12371,0.04193
0.35408,0.19022,0.29009,0.12324,0.04237
0.35404,0.19033,0.28943,0.12326,0.04294
0.35441,0.19028,0.28868,0.12326,0.04337
0.35463,0.19045,0.28795,0.12317,0.0438
0.35457,0.1905,0.28789,0.1228,0.04424
0.35405,0.19102,0.28758,0.1227,0.04465
0.35498,0.19146,0.28614,0.12224,0.04518
0.35452,0.19166,0.28596,0.12233,0.04553
0.35484,0.1918,0.28558,0.12173,0.04605
0.35457,0.19181,0.28527,0.12184,0.04651
0.35465,0.19195,0.28463,0.12186,0.04691
0.35444,0.19218,0.28436,0.12181,0.04721
0.35484,0.19194,0.28421,0.12141,0.0476
0.3546,0.19197,0.28417,0.12114,0.04812
0.35505,0.19205,0.28341,0.1209,0.04859
0.35497,0.19198,0.28314,0.12071,0.0492
0.35532,0.19217,0.2826,0.12031,0.0496
0.3555,0.19195,0.28194,0.12046,0.05015
0.35632,0.19191,0.28085,0.12042,0.0505
0.35587,0.19178,0.28073,0.12073,0.05089
0.35668,0.19152,0.27983,0.12058,0.05139
0.35623,0.19236,0.27926,0.12036,0.05179
0.35659,0.19207,0.27868,0.12028,0.05238
0.35601,0.19217,0.2786,0.1203,0.05292
0.3564,0.19208,0.27829,0.11991,0.05332
0.35609,0.19214,0.27817,0.1199,0.0537
0.35613,0.1924,0.27766,0.11958,0.05423
0.35546,0.19226,0.27774,0.11974,0.0548
0.35551,0.19228,0.27752,0.11938,0.05531
0.35534,0.19232,0.27689,0.11959,0.05586
0.35534,0.19261,0.27612,0.11965,0.05628
0.35513,0.19235,0.27602,0.11978,0.05672
0.35514,0.19264,0.27543,0.11954,0.05725
0.3547,0.19297,0.27514,0.11945,0.05774
0.35467,0.19297,0.27472,0.11918,0.05846
0.35476,0.19227,0.27496,0.1191,0.05891
0.35523,0.19234,0.27435,0.11867,0.05941
0.35536,0.19216,0.27378,0.1187,0.06
0.35547,0.19212,0.27351,0.11821,0.06069
0.35587,0.19163,0.273,0.11827,0.06123
0.35559,0.19177,0.27267,0.1182,0.06177
0.3558,0.19147,0.2722,0.11824,0.06229
0.35601,0.19175,0.2716,0.11781,0.06283
0.3555,0.19152,0.2716,0.118,0.06338
0.35542,0.19173,0.27145,0.11743,0.06397
0.35506,0.19203,0.27115,0.1172,0.06456
0.3552,0.19214,0.27062,0.11686,0.06518
0.35467,0.19234,0.27045,0.11682,0.06572
0.35466,0.19284,0.27005,0.11614,0.06631
0.35413,0.19284,0.27051,0.11573,0.06679
0.35381,0.19331,0.27009,0.1154,0.06739
0.35343,0.19336,0.27014,0.11504,0.06803
0.35327,0.19362,0.26972,0.11481,0.06858
0.35317,0.19395,0.26917,0.11458,0.06913
0.35323,0.19368,0.26931,0.11405,0.06973
0.35301,0.19366,0.26909,0.11394,0.0703
0.35266,0.19383,0.26836,0.11408,0.07107
0.35261,0.19391,0.26815,0.11371,0.07162
0.35267,0.19379,0.26736,0.11383,0.07235
0.3525,0.19383,0.26699,0.11367,0.07301
0.35268,0.19379,0.26665,0.11333,0.07355
0.35263,0.19343,0.26674,0.11317,0.07403
0.35283,0.19374,0.26617,0.11259,0.07467
0.35276,0.19352,0.26571,0.11266,0.07535
0.35282,0.19358,0.26519,0.11244,0.07597
0.35317,0.19317,0.26456,0.11246,0.07664
0.35365,0.19336,0.26356,0.11209,0.07734
0.35331,0.19286,0.26354,0.11227,0.07802
0.35356,0.1932,0.26291,0.11164,0.07869
