,age,prevalence,mean_n_alive,mean_n_htn,n_months
0,40,0.5264483110205123,99782.33333333333,52529.916666666664,12
1,41,0.533640974042344,99317.08333333333,52999.416666666664,12
2,42,0.5422807278160178,98833.83333333333,53595.25,12
3,43,0.5508767496311561,98352.5,54179.833333333336,12
4,44,0.556820633099274,97843.91666666667,54481.333333333336,12
5,45,0.5618450665826978,97346.25,54693.25,12
6,46,0.5684256727806191,96816.16666666667,55032.5,12
7,47,0.5757830864672318,96264.33333333333,55427.0,12
8,48,0.5817462974996402,95698.0,55671.75,12
9,49,0.5876701596416462,95148.16666666667,55915.416666666664,12
10,50,0.5944659106884973,94581.16666666667,56224.916666666664,12
11,51,0.6016467031272134,93949.91666666667,56524.25,12
12,52,0.607358237794515,93264.0,56644.5,12
13,53,0.6114577543485044,92528.66666666667,56577.083333333336,12
14,54,0.6164253190144041,91728.41666666667,56543.333333333336,12
15,55,0.6210979570635022,90881.66666666667,56446.083333333336,12
16,56,0.62420303643359,90013.25,56186.5,12
17,57,0.6273143204363256,89100.16666666667,55893.416666666664,12
18,58,0.6304440969301549,88110.91666666667,55548.916666666664,12
19,59,0.6333654361822535,87061.41666666667,55141.333333333336,12
20,60,0.6347120947651126,85899.83333333333,54521.916666666664,12
21,61,0.6350807341627368,84701.08333333333,53791.666666666664,12
22,62,0.6367231007010782,83397.08333333333,53100.833333333336,12
23,63,0.6386884637938021,82038.0,52396.333333333336,12
24,64,0.6390051980303347,80647.25,51534.416666666664,12
25,65,0.6386869463694104,79201.83333333333,50584.916666666664,12
26,66,0.6406988256523749,77732.33333333333,49802.75,12
27,67,0.6439194586885535,76092.91666666667,48997.25,12
28,68,0.6437735034120545,74412.33333333333,47905.166666666664,12
29,69,0.6435983230296548,72703.41666666667,46791.333333333336,12
30,70,0.6467005447192146,70864.66666666667,45827.833333333336,12
31,71,0.6481444693364616,68866.5,44634.916666666664,12
32,72,0.6484555189635939,66817.58333333333,43328.833333333336,12
33,73,0.6473173833480413,64716.333333333336,41891.666666666664,12
34,74,0.6495835247010672,62597.666666666664,40662.0,12
35,75,0.652124181898604,60308.0,39327.666666666664,12
36,76,0.6518420230262848,57864.666666666664,37719.583333333336,12
37,77,0.6485663219234638,55317.666666666664,35877.166666666664,12
38,78,0.6489827953194874,52789.666666666664,34259.25,12
39,79,0.6503389411343238,50184.166666666664,32636.25,12
40,80,0.6491763712662237,47547.583333333336,30868.166666666668,12
41,81,0.6452675051222336,44922.166666666664,28987.0,12
42,82,0.6447609177625343,42215.166666666664,27219.0,12
43,83,0.6432909127390701,39412.0,25353.75,12
44,84,0.6383611307396807,36622.0,23379.916666666668,12
45,85,0.6332989238300438,33849.333333333336,21437.083333333332,12
46,86,0.6311392149175615,30961.75,19541.583333333332,12
47,87,0.6307166880335603,27999.416666666668,17659.5,12
48,88,0.6251062757252746,25096.833333333332,15691.0,12
49,89,0.6180284272321054,22264.416666666668,13760.25,12
50,90,0.6160733626684848,19553.166666666668,12046.75,12
51,91,0.6137496890962434,16919.166666666668,10384.833333333334,12
52,92,0.6061851143950171,14459.0,8766.916666666666,12
53,93,0.5973085962368393,12230.083333333334,7306.5,12
54,94,0.5905048600214472,10186.833333333334,6015.833333333333,12
55,95,0.5866931060565438,8276.416666666666,4856.666666666667,12
56,96,0.575366185220275,6638.75,3821.25,12
57,97,0.5628860338971986,5246.166666666667,2953.9166666666665,12
58,98,0.5590234196494154,4072.9166666666665,2276.6666666666665,12
59,99,0.5578823369280576,3094.75,1726.8333333333333,12
60,100,0.5538412145656781,869.6666666666666,481.6666666666667,6
