,age,prevalence,mean_n_alive,mean_n_htn,n_months
0,40,0.5264407860643883,99782.33333333333,52529.166666666664,12
1,41,0.53362692009684,99317.66666666667,52998.333333333336,12
2,42,0.5422973889849101,98839.08333333333,53599.75,12
3,43,0.5509416596372015,98363.0,54192.0,12
4,44,0.5569845785823361,97855.66666666667,54503.916666666664,12
5,45,0.5621105316746591,97360.91666666667,54727.333333333336,12
6,46,0.5687580979064825,96837.08333333333,55076.583333333336,12
7,47,0.5761813430645635,96288.91666666667,55479.5,12
8,48,0.5822276775798545,95729.66666666667,55736.25,12
9,49,0.5882574730485143,95184.5,55992.666666666664,12
10,50,0.5951344060221585,94624.75,56314.083333333336,12
11,51,0.6025064357687587,94001.75,56636.25,12
12,52,0.6080071940318924,93321.08333333333,56739.75,12
13,53,0.6121514570791281,92592.08333333333,56680.083333333336,12
14,54,0.6171507256870209,91795.75,56651.416666666664,12
15,55,0.6218720436653059,90950.91666666667,56559.5,12
16,56,0.625043431881874,90089.16666666667,56309.583333333336,12
17,57,0.6282710617603915,89184.41666666667,56031.583333333336,12
18,58,0.6316124138031701,88209.33333333333,55714.0,12
19,59,0.6347750989018602,87176.58333333333,55337.166666666664,12
20,60,0.636154640584358,86027.41666666667,54727.0,12
21,61,0.6365221600314787,84839.75,54002.0,12
22,62,0.6382515684926674,83551.33333333333,53326.75,12
23,63,0.6402463661057581,82209.33333333333,52633.833333333336,12
24,64,0.6405716699113713,80828.83333333333,51777.083333333336,12
25,65,0.6402270724573531,79392.41666666667,50828.916666666664,12
26,66,0.6423085829690772,77939.33333333333,50060.833333333336,12
27,67,0.6460057649960711,76328.08333333333,49307.833333333336,12
28,68,0.6463912114174609,74664.41666666667,48262.833333333336,12
29,69,0.6463246764931895,72972.16666666667,47163.25,12
30,70,0.6495237052046695,71165.16666666667,46223.083333333336,12
31,71,0.6510218736426663,69201.66666666667,45051.25,12
32,72,0.6515010650540555,67176.83333333333,43766.333333333336,12
33,73,0.6507364310403042,65090.5,42356.333333333336,12
34,74,0.6533397352259542,62993.833333333336,41156.0,12
35,75,0.655678323498552,60715.75,39809.416666666664,12
36,76,0.6554277332180326,58286.75,38203.666666666664,12
37,77,0.652311268412528,55755.583333333336,36370.0,12
38,78,0.6527513776160186,53232.666666666664,34747.333333333336,12
39,79,0.6541894856622084,50646.75,33132.0,12
40,80,0.653241594897558,48013.833333333336,31366.083333333332,12
41,81,0.6495897461613662,45380.75,29479.0,12
42,82,0.6491054462807032,42671.25,27698.416666666668,12
43,83,0.6478443706276004,39878.333333333336,25835.25,12
44,84,0.6428985685411714,37079.083333333336,23839.916666666668,12
45,85,0.6382715114529299,34285.166666666664,21883.416666666668,12
46,86,0.6368272512659817,31397.416666666668,19994.916666666668,12
47,87,0.6365353834652039,28429.416666666668,18096.166666666668,12
48,88,0.6305530974764072,25494.916666666668,16078.583333333334,12
49,89,0.6242741181119391,22640.0,14133.75,12
50,90,0.622677318552466,19908.916666666668,12397.166666666666,12
51,91,0.6214490525143975,17260.166666666668,10726.5,12
52,92,0.6153210998311536,14778.0,9095.166666666666,12
53,93,0.6069774933705763,12524.416666666666,7603.25,12
54,94,0.60136102011701,10443.25,6280.5,12
55,95,0.5971267835023316,8505.75,5080.25,12
56,96,0.5850235454972718,6836.75,4001.25,12
57,97,0.5707466201910726,5417.333333333333,3093.0,12
58,98,0.5662657450761449,4215.25,2386.75,12
59,99,0.5681000589121306,3220.75,1829.75,12
60,100,0.5655977775211093,907.0,513.0,6
