N,E,S1,S2,D
0.33515,0.15037,0.3525,0.16198,0.0
0.33506,0.15029,0.35239,0.16188,0.00038
0.33501,0.15019,0.34963,0.16443,0.00074
0.33563,0.15089,0.3494,0.16287,0.00121
0.33598,0.15147,0.34921,0.16185,0.00149
0.33688,0.1524,0.3488,0.16004,0.00188
0.33713,0.15292,0.34839,0.15927,0.00229
0.33586,0.15226,0.35234,0.15695,0.00259
0.33604,0.15275,0.35206,0.15621,0.00294
0.33705,0.15383,0.35174,0.15413,0.00325
0.33101,0.1611,0.35158,0.15268,0.00363
0.33193,0.16227,0.35074,0.15105,0.00401
0.33206,0.16263,0.3504,0.15066,0.00425
0.33419,0.16396,0.3472,0.15003,0.00462
0.3346,0.16264,0.34856,0.14912,0.00508
0.33522,0.16342,0.34824,0.14775,0.00537
0.33267,0.16749,0.34752,0.14663,0.00569
0.33357,0.16897,0.34661,0.14477,0.00608
0.33394,0.16921,0.34617,0.14415,0.00653
0.33527,0.17024,0.34506,0.14248,0.00695
0.33159,0.17264,0.34661,0.14177,0.00739
0.33305,0.1731,0.34581,0.14029,0.00775
0.33355,0.17382,0.34528,0.13928,0.00807
0.33471,0.17471,0.34443,0.13772,0.00843
0.33346,0.17294,0.34747,0.1373,0.00883
0.33236,0.17654,0.34374,0.13819,0.00917
0.33319,0.17719,0.34304,0.13702,0.00956
0.32939,0.17703,0.34794,0.13566,0.00998
0.33023,0.17747,0.34657,0.13541,0.01032
0.33225,0.17822,0.34534,0.13348,0.01071
0.33231,0.1765,0.34719,0.1329,0.0111
0.33175,0.17571,0.35017,0.13091,0.01146
0.33246,0.17458,0.3508,0.13028,0.01188
0.33388,0.1751,0.34957,0.12928,0.01217
0.33432,0.1758,0.34907,0.1283,0.01251
0.3357,0.17686,0.34778,0.12681,0.01285
0.33637,0.17695,0.3474,0.12611,0.01317
0.33577,0.17548,0.3511,0.12413,0.01352
0.33638,0.17632,0.34962,0.12378,0.0139
0.33742,0.17684,0.34873,0.1227,0.01431
0.33814,0.17697,0.34819,0.12205,0.01465
0.33972,0.17755,0.34684,0.12078,0.01511
0.33997,0.17797,0.34609,0.12046,0.01551
0.34216,0.17785,0.34482,0.11929,0.01588
0.34298,0.17624,0.3455,0.11897,0.01631
0.3441,0.17675,0.34421,0.11813,0.01681
0.34461,0.17697,0.34371,0.11741,0.0173
0.34602,0.17745,0.3422,0.11667,0.01766
0.34594,0.1775,0.34002,0.11846,0.01808
0.34293,0.18217,0.33907,0.11744,0.01839
0.34348,0.18235,0.33838,0.11693,0.01886
0.34476,0.183,0.33714,0.11594,0.01916
0.34502,0.18335,0.33685,0.11521,0.01957
0.34683,0.18376,0.33539,0.11412,0.0199
0.34363,0.18676,0.33483,0.11455,0.02023
0.34059,0.19158,0.33137,0.1158,0.02066
0.34124,0.19021,0.33234,0.11515,0.02106
0.34222,0.19051,0.33176,0.11397,0.02154
0.34255,0.19073,0.33147,0.11328,0.02197
0.34364,0.19146,0.33019,0.11235,0.02236
0.34371,0.19167,0.33006,0.11189,0.02267
0.34112,0.19607,0.32914,0.11065,0.02302
0.34081,0.19703,0.32852,0.11012,0.02352
0.3422,0.1968,0.32727,0.10986,0.02387
0.34252,0.19677,0.32664,0.10981,0.02426
0.3436,0.19762,0.32505,0.10912,0.02461
0.34368,0.19721,0.32483,0.10934,0.02494
0.34462,0.19577,0.32572,0.10855,0.02534
0.34513,0.19561,0.32535,0.10818,0.02573
0.34225,0.19979,0.32417,0.10765,0.02614
0.34272,0.19986,0.32371,0.10716,0.02655
0.34387,0.19991,0.32267,0.10656,0.02699
0.34427,0.19977,0.32209,0.10649,0.02738
0.34516,0.20021,0.3211,0.10564,0.02789
0.34568,0.19956,0.32068,0.10584,0.02824
0.34699,0.19923,0.31952,0.10563,0.02863
0.34711,0.19957,0.31899,0.10532,0.02901
0.34794,0.19978,0.31805,0.10481,0.02942
0.34778,0.19924,0.3183,0.1048,0.02988
0.3489,0.19963,0.31719,0.10393,0.03035
0.34889,0.19977,0.31668,0.10385,0.03081
0.34957,0.19997,0.31587,0.10341,0.03118
0.34987,0.19975,0.3136,0.1051,0.03168
0.35124,0.19967,0.31215,0.10472,0.03222
