N,E,S1,S2,D
0.33515,0.15037,0.3525,0.16198,0.0
0.33506,0.15029,0.35239,0.16188,0.00038
0.33501,0.15019,0.34963,0.16443,0.00074
0.33573,0.15102,0.34944,0.1626,0.00121
0.33616,0.15172,0.34929,0.16134,0.00149
0.33711,0.15294,0.349,0.15907,0.00188
0.3374,0.15358,0.34864,0.15809,0.00229
0.33622,0.15316,0.35265,0.15538,0.00259
0.33651,0.15369,0.35204,0.15483,0.00293
0.33764,0.15492,0.35193,0.15227,0.00324
0.33167,0.16223,0.35189,0.15059,0.00362
0.33273,0.16358,0.35101,0.14868,0.004
0.33291,0.16399,0.35068,0.14818,0.00424
0.33537,0.16527,0.34749,0.14726,0.00461
0.33586,0.16394,0.34896,0.14617,0.00507
0.33669,0.16481,0.34868,0.14446,0.00536
0.3343,0.16892,0.34797,0.14313,0.00568
0.3354,0.17063,0.34699,0.14092,0.00606
0.33588,0.17079,0.34664,0.14019,0.0065
0.33746,0.1719,0.34545,0.13827,0.00692
0.33388,0.17449,0.34676,0.13751,0.00736
0.33556,0.17504,0.34593,0.13575,0.00772
0.33616,0.17597,0.34529,0.13454,0.00804
0.33746,0.17694,0.34443,0.13278,0.00839
0.33624,0.17512,0.34749,0.13236,0.00879
0.33557,0.1788,0.34355,0.13296,0.00912
0.33656,0.1795,0.34276,0.13167,0.00951
0.33296,0.17937,0.34708,0.13068,0.00991
0.33392,0.17978,0.34531,0.13074,0.01025
0.33605,0.18056,0.34407,0.12868,0.01064
0.3361,0.17896,0.34588,0.12804,0.01102
0.33592,0.17798,0.34843,0.1263,0.01137
0.33683,0.17689,0.34892,0.12558,0.01178
0.33846,0.17752,0.34753,0.12442,0.01207
0.33891,0.1783,0.347,0.12339,0.0124
0.34042,0.17939,0.34544,0.12201,0.01274
0.34125,0.1796,0.34474,0.12135,0.01306
0.34094,0.17835,0.34794,0.11936,0.01341
0.34177,0.17892,0.3468,0.11873,0.01378
0.34293,0.17942,0.34576,0.11772,0.01417
0.34368,0.17955,0.34525,0.11702,0.0145
0.34543,0.17994,0.34393,0.11574,0.01496
0.34581,0.18037,0.34351,0.11495,0.01536
0.3482,0.18027,0.34207,0.11372,0.01574
0.3491,0.17859,0.34272,0.11342,0.01617
0.35049,0.17899,0.3414,0.11245,0.01667
0.35127,0.17921,0.3407,0.11167,0.01715
0.35279,0.17943,0.33932,0.11095,0.01751
0.35289,0.17936,0.33702,0.1128,0.01793
0.35005,0.18401,0.33597,0.11173,0.01824
0.3505,0.18436,0.33525,0.11118,0.01871
0.35178,0.1852,0.33387,0.11014,0.01901
0.35211,0.18552,0.33356,0.10939,0.01942
0.354,0.18592,0.33217,0.10818,0.01973
0.35079,0.18888,0.33228,0.10799,0.02006
0.34792,0.19368,0.32883,0.10908,0.02049
0.34842,0.19211,0.3302,0.10838,0.02089
0.34965,0.19263,0.32932,0.10704,0.02136
0.34998,0.19289,0.32909,0.10625,0.02179
0.35146,0.19316,0.32792,0.10528,0.02218
0.35154,0.19341,0.32778,0.10478,0.02249
0.3491,0.19799,0.32662,0.10345,0.02284
0.34803,0.19975,0.326,0.10289,0.02333
0.34958,0.19961,0.32441,0.10272,0.02368
0.34996,0.19966,0.32358,0.10273,0.02407
0.35151,0.20013,0.32192,0.10202,0.02442
0.3517,0.19977,0.32157,0.10221,0.02475
0.35267,0.19855,0.3222,0.10144,0.02514
0.35322,0.19853,0.32174,0.10098,0.02553
0.35042,0.2027,0.32053,0.10041,0.02594
0.35108,0.20275,0.31955,0.10029,0.02633
0.35241,0.20265,0.31844,0.09972,0.02678
0.35279,0.20257,0.31782,0.09965,0.02717
0.35345,0.20339,0.31669,0.09879,0.02768
0.35405,0.20229,0.31558,0.10005,0.02803
0.35559,0.2019,0.31425,0.09985,0.02841
0.35574,0.20222,0.31373,0.09952,0.02879
0.35669,0.20239,0.31267,0.09906,0.02919
0.35661,0.20179,0.31292,0.09904,0.02964
0.35799,0.20228,0.31145,0.09817,0.03011
0.35781,0.20275,0.3108,0.09808,0.03056
0.35862,0.20276,0.3102,0.09749,0.03093
0.35903,0.20256,0.30798,0.099,0.03143
0.36046,0.20238,0.30662,0.09858,0.03196
