N,E,S1,S2,D
0.33515,0.15037,0.3525,0.16198,0.0
0.33506,0.15029,0.35239,0.16188,0.00038
0.33501,0.15019,0.34963,0.16443,0.00074
0.33564,0.15106,0.34942,0.16267,0.00121
0.33607,0.15171,0.34923,0.1615,0.00149
0.33693,0.15292,0.3489,0.15937,0.00188
0.33717,0.15351,0.34845,0.15858,0.00229
0.33593,0.15303,0.35239,0.15607,0.00258
0.33623,0.15359,0.35202,0.15523,0.00293
0.3373,0.15474,0.35204,0.15268,0.00324
0.33129,0.16207,0.35191,0.15111,0.00362
0.33232,0.16335,0.35104,0.14929,0.004
0.33242,0.16381,0.35075,0.14878,0.00424
0.33471,0.16529,0.34759,0.1478,0.00461
0.3352,0.16404,0.34883,0.14686,0.00507
0.33613,0.16493,0.34823,0.14535,0.00536
0.33362,0.16875,0.34743,0.14452,0.00568
0.3346,0.17048,0.34666,0.1422,0.00606
0.33504,0.17063,0.34633,0.14149,0.00651
0.33661,0.17176,0.34517,0.13953,0.00693
0.33319,0.17437,0.34632,0.13875,0.00737
0.33478,0.17498,0.34539,0.13712,0.00773
0.3354,0.17569,0.34498,0.13588,0.00805
0.33684,0.17643,0.34399,0.13434,0.0084
0.33553,0.17462,0.34712,0.13393,0.0088
0.33461,0.17864,0.34325,0.13437,0.00913
0.3355,0.17946,0.34203,0.13349,0.00952
0.33189,0.1793,0.3472,0.13169,0.00992
0.3328,0.17976,0.34622,0.13097,0.01025
0.33503,0.1806,0.34492,0.12881,0.01064
0.3349,0.17903,0.34698,0.12807,0.01102
0.33493,0.17817,0.34931,0.12622,0.01137
0.3358,0.17717,0.35002,0.12523,0.01178
0.33749,0.17794,0.34855,0.12395,0.01207
0.33793,0.17864,0.348,0.12303,0.0124
0.3398,0.1794,0.34649,0.12158,0.01273
0.34066,0.17973,0.34569,0.12087,0.01305
0.3403,0.17849,0.34895,0.11887,0.01339
0.34123,0.17864,0.348,0.11836,0.01377
0.34266,0.17892,0.34706,0.11721,0.01415
0.34337,0.17881,0.34648,0.11685,0.01449
0.34526,0.17948,0.34484,0.11547,0.01495
0.3455,0.18,0.34455,0.1146,0.01535
0.34799,0.17991,0.34315,0.11322,0.01573
0.34887,0.17846,0.34358,0.11293,0.01616
0.34998,0.17928,0.34227,0.11182,0.01665
0.35068,0.17965,0.34139,0.11115,0.01713
0.35224,0.18001,0.33909,0.11117,0.01749
0.35253,0.17973,0.33711,0.11272,0.01791
0.34969,0.18431,0.33619,0.11159,0.01822
0.35033,0.18474,0.33526,0.11098,0.01869
0.35158,0.18581,0.3337,0.10992,0.01899
0.35181,0.18618,0.33335,0.10926,0.0194
0.35365,0.18628,0.33237,0.10798,0.01972
0.35042,0.1893,0.33247,0.10776,0.02005
0.34773,0.19409,0.32895,0.10875,0.02048
0.34883,0.19268,0.32966,0.10795,0.02088
0.3502,0.19293,0.32892,0.1066,0.02135
0.35045,0.1933,0.32863,0.10584,0.02178
0.3518,0.19389,0.32726,0.10488,0.02217
0.35208,0.19387,0.32721,0.10436,0.02248
0.34935,0.1987,0.32618,0.10294,0.02283
0.34984,0.1989,0.32564,0.1023,0.02332
0.35137,0.19893,0.32383,0.1022,0.02367
0.3518,0.19866,0.32325,0.10223,0.02406
0.35343,0.19897,0.32181,0.10138,0.02441
0.35319,0.19933,0.32134,0.1014,0.02474
0.35415,0.19822,0.32189,0.10061,0.02513
0.35493,0.19793,0.32123,0.10039,0.02552
0.35207,0.20225,0.31994,0.09981,0.02593
0.35266,0.20238,0.31885,0.09979,0.02632
0.35415,0.20213,0.31769,0.09927,0.02676
0.35451,0.20203,0.31701,0.0993,0.02715
0.35585,0.20196,0.31617,0.09836,0.02766
0.35642,0.20181,0.31578,0.09799,0.028
0.35799,0.20115,0.31491,0.09757,0.02838
0.3583,0.20118,0.31462,0.09714,0.02876
0.35895,0.20168,0.31365,0.09656,0.02916
0.35895,0.20053,0.31434,0.09657,0.02961
0.36033,0.20013,0.31369,0.09577,0.03008
0.36073,0.2,0.31318,0.09556,0.03053
0.361,0.20065,0.31248,0.09497,0.0309
0.36132,0.20052,0.31018,0.09658,0.0314
0.36222,0.20107,0.30845,0.09633,0.03193
