N,E,S1,S2,D
0.33515,0.15037,0.3525,0.16198,0.0
0.33506,0.15029,0.35239,0.16188,0.00038
0.33501,0.15019,0.34963,0.16443,0.00074
0.33572,0.15115,0.34944,0.16248,0.00121
0.33619,0.1519,0.34923,0.16119,0.00149
0.33716,0.15318,0.34902,0.15876,0.00188
0.33744,0.15382,0.3485,0.15795,0.00229
0.33636,0.15346,0.35235,0.15525,0.00258
0.3367,0.15406,0.35193,0.15439,0.00292
0.3379,0.15532,0.35186,0.15169,0.00323
0.33198,0.16274,0.35168,0.14999,0.00361
0.33321,0.16406,0.3507,0.14804,0.00399
0.33336,0.16458,0.35032,0.14751,0.00423
0.33596,0.16596,0.34694,0.14654,0.0046
0.33659,0.16465,0.34824,0.14547,0.00505
0.33764,0.16545,0.34764,0.14393,0.00534
0.33532,0.16943,0.34683,0.14276,0.00566
0.33643,0.17116,0.3461,0.14027,0.00604
0.33686,0.17139,0.34572,0.13954,0.00649
0.33862,0.17253,0.34447,0.13747,0.00691
0.33518,0.17528,0.34553,0.13666,0.00735
0.33688,0.17582,0.34471,0.13488,0.00771
0.3376,0.17657,0.34425,0.13355,0.00803
0.33912,0.17735,0.34312,0.13204,0.00837
0.33786,0.17547,0.3462,0.1317,0.00877
0.33709,0.17936,0.34234,0.13211,0.0091
0.33789,0.18028,0.3414,0.13094,0.00949
0.33411,0.18005,0.34671,0.12924,0.00989
0.33502,0.18061,0.34558,0.12857,0.01022
0.33719,0.18154,0.3442,0.12646,0.01061
0.3371,0.17989,0.34628,0.12574,0.01099
0.33715,0.17885,0.34881,0.12385,0.01134
0.33806,0.17787,0.3494,0.12292,0.01175
0.33977,0.17867,0.34747,0.12205,0.01204
0.34024,0.17941,0.34708,0.1209,0.01237
0.34202,0.18009,0.34572,0.11947,0.0127
0.34308,0.18011,0.34487,0.11892,0.01302
0.34283,0.17887,0.34812,0.11683,0.01335
0.34378,0.17915,0.34695,0.1164,0.01372
0.34513,0.1795,0.34597,0.1153,0.0141
0.34591,0.17943,0.34551,0.11471,0.01444
0.34794,0.18013,0.3437,0.11333,0.0149
0.34786,0.18076,0.34354,0.11254,0.0153
0.35039,0.18061,0.34213,0.11119,0.01568
0.35134,0.17902,0.34238,0.11115,0.01611
0.35255,0.17983,0.34093,0.11009,0.0166
0.35332,0.18026,0.33991,0.10943,0.01708
0.35484,0.18065,0.33806,0.10901,0.01744
0.35508,0.18039,0.33617,0.1105,0.01786
0.35246,0.18485,0.33512,0.1094,0.01817
0.353,0.18544,0.33414,0.10878,0.01864
0.35454,0.18607,0.33271,0.10774,0.01894
0.35472,0.18638,0.3325,0.10705,0.01935
0.35667,0.18658,0.33128,0.10581,0.01966
0.35338,0.18968,0.33137,0.10558,0.01999
0.35082,0.19445,0.32772,0.10659,0.02042
0.3519,0.19316,0.32831,0.10581,0.02082
0.35337,0.19355,0.32731,0.10448,0.02129
0.35371,0.19394,0.32703,0.1036,0.02172
0.35515,0.19445,0.32568,0.10261,0.02211
0.3553,0.19469,0.32548,0.10211,0.02242
0.35243,0.1997,0.32438,0.10072,0.02277
0.35293,0.20002,0.32368,0.10011,0.02326
0.35454,0.19987,0.32202,0.09997,0.0236
0.35501,0.19977,0.32126,0.09997,0.02399
0.35658,0.20004,0.31987,0.09917,0.02434
0.35665,0.20004,0.31942,0.09922,0.02467
0.35754,0.19895,0.32006,0.09839,0.02506
0.35841,0.19856,0.31929,0.09829,0.02545
0.3555,0.2029,0.31803,0.09771,0.02586
0.35606,0.20309,0.31697,0.09763,0.02625
0.35754,0.20278,0.31595,0.09703,0.0267
0.35794,0.20266,0.31529,0.09702,0.02709
0.35936,0.20258,0.31437,0.09609,0.0276
0.36002,0.20242,0.31395,0.09567,0.02794
0.36156,0.20121,0.31361,0.0953,0.02832
0.36193,0.2013,0.31317,0.0949,0.0287
0.36284,0.2016,0.31211,0.09435,0.0291
0.3629,0.20075,0.31247,0.09433,0.02955
0.3644,0.20068,0.31141,0.09349,0.03002
0.36488,0.20044,0.31088,0.09333,0.03047
0.36553,0.20076,0.31022,0.09265,0.03084
0.36597,0.20069,0.30784,0.09416,0.03134
0.36733,0.20084,0.30616,0.0938,0.03187
