,age,prevalence,mean_n_alive,mean_n_htn,n_months
0,40,0.5159439239130251,99796.58333333333,51489.25,12
1,41,0.5219681161335827,99364.91666666667,51865.083333333336,12
2,42,0.5380612482416193,98912.16666666667,53220.0,12
3,43,0.5528371595072477,98465.58333333333,54435.083333333336,12
4,44,0.5592994661284587,97985.16666666667,54802.833333333336,12
5,45,0.5655973082312707,97519.66666666667,55156.5,12
6,46,0.5731086828766668,97027.58333333333,55607.083333333336,12
7,47,0.5810852922575178,96513.33333333333,56082.166666666664,12
8,48,0.586032993838232,95986.5,56251.166666666664,12
9,49,0.5898319214080331,95477.33333333333,56315.333333333336,12
10,50,0.5967400310464754,94934.08333333333,56650.583333333336,12
11,51,0.6043601152251503,94337.5,57013.416666666664,12
12,52,0.6095716475025769,93705.66666666667,57120.25,12
13,53,0.6169400694023071,93031.33333333333,57394.083333333336,12
14,54,0.626032860977671,92281.58333333333,57770.75,12
15,55,0.6332031396897444,91493.0,57933.166666666664,12
16,56,0.6382691367130037,90686.0,57882.0,12
17,57,0.6406159477376022,89823.75,57542.083333333336,12
18,58,0.6465414495904899,88879.66666666667,57464.083333333336,12
19,59,0.6507819555369739,87869.25,57183.333333333336,12
20,60,0.6504758196017536,86775.75,56446.083333333336,12
21,61,0.6511242705462726,85650.25,55768.75,12
22,62,0.6517665264755058,84431.25,55029.25,12
23,63,0.6550896669123373,83124.75,54454.0,12
24,64,0.6564515152051628,81793.58333333333,53694.083333333336,12
25,65,0.6563738777457758,80394.91666666667,52768.666666666664,12
26,66,0.6611500407740494,78927.83333333333,52182.333333333336,12
27,67,0.6654156284630864,77305.75,51440.083333333336,12
28,68,0.6659023694031709,75636.08333333333,50366.666666666664,12
29,69,0.6643533715343516,73901.75,49096.75,12
30,70,0.6655979224885918,72049.16666666667,47955.583333333336,12
31,71,0.6663757283342523,70070.5,46692.916666666664,12
32,72,0.6647124239696868,67995.25,45198.0,12
33,73,0.6633006425544297,65848.16666666667,43677.166666666664,12
34,74,0.6656093110313756,63747.333333333336,42430.083333333336,12
35,75,0.6655787045301037,61413.333333333336,40875.5,12
36,76,0.6631418450748744,58971.083333333336,39107.416666666664,12
37,77,0.6610250837272053,56437.916666666664,37306.0,12
38,78,0.6609180324112235,53943.333333333336,35652.166666666664,12
39,79,0.6602056362458935,51355.833333333336,33905.75,12
40,80,0.6582119050564242,48716.583333333336,32066.833333333332,12
41,81,0.6559099957943614,46091.416666666664,30232.5,12
42,82,0.6520190472439492,43322.5,28247.583333333332,12
43,83,0.6503423489785184,40478.916666666664,26324.75,12
44,84,0.6459975102772179,37663.333333333336,24333.0,12
45,85,0.6404161527799855,34857.25,22323.5,12
46,86,0.6409529461796512,31931.333333333332,20465.916666666668,12
47,87,0.6416476737753586,28964.333333333332,18584.666666666668,12
48,88,0.6401416003121884,25989.166666666668,16637.916666666668,12
49,89,0.6344626041785705,23086.0,14647.833333333334,12
50,90,0.6313469551386085,20241.166666666668,12779.833333333334,12
51,91,0.6303624107884302,17492.916666666668,11026.5,12
52,92,0.6251977070770609,14953.333333333334,9350.916666666666,12
53,93,0.6187638973721284,12644.166666666666,7824.083333333333,12
54,94,0.6189925831447705,10508.416666666666,6504.166666666667,12
55,95,0.6185871830232219,8528.916666666666,5275.666666666667,12
56,96,0.6154992734228529,6846.666666666667,4215.5,12
57,97,0.6068961826482556,5402.916666666667,3279.1666666666665,12
58,98,0.6048757105259294,4181.416666666667,2529.6666666666665,12
59,99,0.5985523318147017,3143.25,1881.75,12
60,100,0.5963048211316531,869.5,518.5,6
