,age,prevalence,mean_n_alive,mean_n_htn,n_months
0,40,0.515943431786743,99797.0,51489.416666666664,12
1,41,0.5219685676105278,99366.58333333333,51866.0,12
2,42,0.538092320994407,98919.75,53227.166666666664,12
3,43,0.5529568001973498,98480.75,54455.25,12
4,44,0.5594179467658441,98003.0,54824.416666666664,12
5,45,0.5657915337267351,97540.25,55187.083333333336,12
6,46,0.5734071489002986,97053.66666666667,55651.0,12
7,47,0.5815460305336543,96545.91666666667,56145.583333333336,12
8,48,0.5865708353472953,96029.33333333333,56327.916666666664,12
9,49,0.5904476707455949,95528.5,56404.333333333336,12
10,50,0.5975058471652608,94996.08333333333,56760.333333333336,12
11,51,0.6051711572054148,94405.5,57131.083333333336,12
12,52,0.6104602053536466,93781.41666666667,57249.75,12
13,53,0.6179628279012926,93111.75,57538.916666666664,12
14,54,0.6271515042639588,92373.41666666667,57931.583333333336,12
15,55,0.6342909947280554,91596.08333333333,58098.083333333336,12
16,56,0.6394816474510688,90798.91666666667,58064.166666666664,12
17,57,0.6418173579657843,89948.25,57729.916666666664,12
18,58,0.6478533685019657,89017.66666666667,57670.083333333336,12
19,59,0.6522535101337492,88024.66666666667,57414.0,12
20,60,0.6520717117319946,86947.33333333333,56696.416666666664,12
21,61,0.6530010819757129,85837.0,56051.416666666664,12
22,62,0.6540111937844535,84631.16666666667,55349.5,12
23,63,0.6575810172291188,83343.25,54804.75,12
24,64,0.6590558655771651,82035.83333333333,54066.75,12
25,65,0.6592364872868289,80663.25,53175.666666666664,12
26,66,0.664280879700526,79226.25,52627.666666666664,12
27,67,0.6687614351447896,77620.16666666667,51909.0,12
28,68,0.6692240322505035,75977.58333333333,50846.416666666664,12
29,69,0.6680618631725261,74270.33333333333,49617.0,12
30,70,0.6695509418391804,72445.0,48505.416666666664,12
31,71,0.6700524097200403,70488.75,47230.833333333336,12
32,72,0.6682103374307945,68444.83333333333,45736.25,12
33,73,0.6667609045727253,66312.91666666667,44214.833333333336,12
34,74,0.6693240924714714,64221.833333333336,42984.5,12
35,75,0.6692154250663819,61904.333333333336,41427.5,12
36,76,0.6670260496080326,59475.583333333336,39672.916666666664,12
37,77,0.6649252717399214,56960.166666666664,37873.416666666664,12
38,78,0.66452410559602,54462.666666666664,36191.833333333336,12
39,79,0.6637645014264514,51872.75,34431.583333333336,12
40,80,0.6615805865142586,49242.75,32579.083333333332,12
41,81,0.6597164236001424,46640.25,30769.916666666668,12
42,82,0.6557064498965337,43876.416666666664,28770.583333333332,12
43,83,0.654074355742959,41033.083333333336,26838.333333333332,12
44,84,0.6496105546394547,38199.916666666664,24817.583333333332,12
45,85,0.6444130326800556,35378.0,22798.333333333332,12
46,86,0.6446800140347378,32426.583333333332,20904.25,12
47,87,0.6457085687840989,29426.75,19000.75,12
48,88,0.6446387215008512,26436.833333333332,17043.166666666668,12
49,89,0.6397109068594352,23508.416666666668,15038.833333333334,12
50,90,0.6372548773735399,20643.166666666668,13155.5,12
51,91,0.6367281803292492,17852.583333333332,11367.0,12
52,92,0.6311407081693691,15262.416666666666,9635.083333333334,12
53,93,0.6254595100059586,12907.25,8073.0,12
54,94,0.6266643755598517,10745.666666666666,6733.25,12
55,95,0.6272512481942004,8755.666666666666,5491.666666666667,12
56,96,0.6257793621812495,7045.833333333333,4410.166666666667,12
57,97,0.6173382565835932,5560.916666666667,3433.3333333333335,12
58,98,0.6141418961376716,4310.583333333333,2647.8333333333335,12
59,99,0.6073907185158017,3254.0833333333335,1976.9166666666667,12
60,100,0.6057913415646392,907.3333333333334,549.6666666666666,6
