,age,prevalence,mean_n_alive,mean_n_htn,n_months
0,40,0.5159442090303202,99797.33333333333,51489.666666666664,12
1,41,0.521985340927274,99368.5,51868.666666666664,12
2,42,0.5381560663160074,98922.75,53235.083333333336,12
3,43,0.5531434132333458,98485.5,54476.25,12
4,44,0.5597296286407859,98008.58333333333,54858.083333333336,12
5,45,0.5662056752714731,97546.91666666667,55231.25,12
6,46,0.5740294708268188,97059.66666666667,55714.833333333336,12
7,47,0.582290199008542,96553.91666666667,56222.083333333336,12
8,48,0.5874820515031246,96039.83333333333,56421.583333333336,12
9,49,0.5914796851713843,95541.75,56510.75,12
10,50,0.5988025735934949,95017.08333333333,56896.083333333336,12
11,51,0.6067958053060841,94431.41666666667,57300.166666666664,12
12,52,0.6123801687943139,93810.75,57447.75,12
13,53,0.6201765383534569,93145.16666666667,57765.75,12
14,54,0.6295923335963528,92409.08333333333,58179.5,12
15,55,0.6369740288101086,91634.41666666667,58368.25,12
16,56,0.6424056553253555,90840.33333333333,58356.25,12
17,57,0.6450702101279863,89996.33333333333,58053.5,12
18,58,0.6513275911563486,89070.25,58013.583333333336,12
19,59,0.6559278891427128,88080.66666666667,57774.166666666664,12
20,60,0.6560178113193496,87010.5,57080.916666666664,12
21,61,0.6572865386243855,85904.83333333333,56463.833333333336,12
22,62,0.6587381816251359,84705.83333333333,55798.666666666664,12
23,63,0.6626070288991414,83423.83333333333,55277.0,12
24,64,0.6642183837304575,82123.41666666667,54548.416666666664,12
25,65,0.6645199718195477,80762.58333333333,53667.833333333336,12
26,66,0.6697259441790626,79334.41666666667,53131.5,12
27,67,0.6744062195369694,77735.41666666667,52424.833333333336,12
28,68,0.6752249226395101,76103.16666666667,51387.083333333336,12
29,69,0.6744009466547034,74400.33333333333,50175.416666666664,12
30,70,0.6761032510504794,72585.5,49075.083333333336,12
31,71,0.6768163197810669,70638.66666666667,47809.0,12
32,72,0.6753462566371636,68606.5,46333.833333333336,12
33,73,0.6741702293433006,66481.83333333333,44820.0,12
34,74,0.6769538891660455,64400.916666666664,43595.666666666664,12
35,75,0.6773713473346761,62093.25,42060.25,12
36,76,0.6754750369919037,59676.5,40311.083333333336,12
37,77,0.6735497971031837,57167.666666666664,38504.416666666664,12
38,78,0.6737893031490216,54679.666666666664,36842.5,12
39,79,0.6734223095810702,52091.75,35079.916666666664,12
40,80,0.6714620307644098,49463.583333333336,33214.0,12
41,81,0.6696310340541812,46860.083333333336,31379.416666666668,12
42,82,0.6662833086125944,44093.75,29379.333333333332,12
43,83,0.6652225741194896,41257.75,27445.166666666668,12
44,84,0.6611593784203843,38428.416666666664,25409.75,12
45,85,0.6559334583899491,35614.5,23361.0,12
46,86,0.6561999436478869,32664.416666666668,21434.0,12
47,87,0.6569859519911213,29665.833333333332,19489.666666666668,12
48,88,0.6560881607356945,26666.75,17496.583333333332,12
49,89,0.651313427867364,23722.833333333332,15451.25,12
50,90,0.6486446840027068,20837.5,13516.833333333334,12
51,91,0.6481300868475435,18036.583333333332,11689.666666666666,12
52,92,0.6428515247789572,15436.916666666666,9925.833333333334,12
53,93,0.6374822389581224,13067.5,8330.333333333334,12
54,94,0.6395991362028896,10894.666666666666,6967.333333333333,12
55,95,0.6411129268091927,8892.083333333334,5700.416666666667,12
56,96,0.6396252075228662,7164.833333333333,4583.916666666667,12
57,97,0.6326112174441634,5668.583333333333,3586.1666666666665,12
58,98,0.6312877442047795,4403.666666666667,2780.1666666666665,12
59,99,0.627062823244685,3333.5833333333335,2090.6666666666665,12
60,100,0.6258630964995768,930.1666666666666,582.1666666666666,6
